# from_x0 from_x1 to_x0 to_x1 length
0.8280058009 0.5208919953 0.8274391685 0.5214099691 0.0001555158
0.8270229097 0.5217904825 0.8274391685 0.5214099691 0.0001142449
0.8238905619 0.5235027927 0.8270229097 0.5217904825 0.0007947232
0.8251497449 0.5235027927 0.8238905619 0.5235027927 0.0003039634
0.8293123333 0.5196976589 0.8280058009 0.5208919953 0.0003585861
0.8298809648 0.5211568282 0.8293123333 0.5196976589 0.0003078704
0.8298809648 0.5196976589 0.8298809648 0.5211568282 0.0002084528
0.8309935915 0.5241434413 0.8298809648 0.5211568282 0.0013289194
0.8293123333 0.5217904825 0.8274391685 0.5214099691 0.0002848207
0.8309323470 0.5206355028 0.8298809648 0.5211568282 0.0002821948
0.8303425739 0.5187558883 0.8298809648 0.5196976589 0.0001502362
0.8228603213 0.5255956163 0.8238905619 0.5235027927 0.0003888911
0.8280952243 0.5252079634 0.8274391685 0.5214099691 0.0006533865
0.8222151201 0.5261854120 0.8228603213 0.5255956163 0.0001770796
0.8265444356 0.5259769184 0.8280952243 0.5252079634 0.0004162373
0.8334681483 0.5251339133 0.8309935915 0.5241434413 0.0004214643
0.8316017569 0.5176048353 0.8303425739 0.5187558883 0.0003455907
0.8332502156 0.5212273170 0.8334681483 0.5251339133 0.0006129886
0.8316952548 0.5272920610 0.8334681483 0.5251339133 0.0005099643
0.8276855462 0.5280012031 0.8280952243 0.5252079634 0.0004056474
0.8338869868 0.5194505667 0.8332502156 0.5212273170 0.0004328017
0.8324525039 0.5280012031 0.8309935915 0.5241434413 0.0012336496
0.8309935915 0.5241434413 0.8293123333 0.5217904825 0.0006510378
0.8355396393 0.5182895384 0.8338869868 0.5194505667 0.0003033857
0.8350949354 0.5168303690 0.8355396393 0.5182895384 0.0003036796
0.8356635669 0.5182895384 0.8355396393 0.5182895384 0.0000177039
0.8339682163 0.5213698530 0.8309323470 0.5206355028 0.0004680213
0.8361764105 0.5173577432 0.8356635669 0.5182895384 0.0003831401
0.8330485490 0.5214728063 0.8309935915 0.5241434413 0.0005009662
0.8259126527 0.5301593509 0.8222151201 0.5261854120 0.0008446652
0.8373332950 0.5186934310 0.8356635669 0.5182895384 0.0002574117
0.8348606034 0.5205985446 0.8330485490 0.5214728063 0.0005907776
0.8188670748 0.5381768426 0.8259126527 0.5301593509 0.0016534395
0.8179346319 0.5398710157 0.8188670748 0.5381768426 0.0006966183
0.8407445058 0.5122736288 0.8361764105 0.5173577432 0.0010611589
0.8396318790 0.5092870157 0.8407445058 0.5122736288 0.0005288324
0.8146591869 0.5416717597 0.8179346319 0.5398710157 0.0005339728
-2.7871592147 1.4755146549 0.8146591869 0.5416717597 0.5357820670
0.8374650617 0.5130298990 0.8407445058 0.5122736288 0.0041060501
0.8339682163 0.5213698530 0.8259126527 0.5301593509 0.0024005746
0.8363448671 0.5209951523 0.8339682163 0.5213698530 0.0010013323
0.8449016376 0.5073515210 0.8407445058 0.5122736288 0.0011140950
0.8179346319 0.5356017856 0.8324525039 0.5280012031 0.0024130761
0.8086253476 0.5504708747 0.8146591869 0.5416717597 0.0017131400
0.7800361100 0.4909584282 0.8339682163 0.5213698530 0.0131272728
-2.7679687366 1.6090816799 -2.7871592147 1.4755146549 0.0276068813
0.8369710483 0.4829793776 0.8396318790 0.5092870157 0.0042123102
0.8470866035 0.5062325382 0.8449016376 0.5073515210 0.0009757903
-2.7918040035 1.5687296939 -2.7679687366 1.6090816799 0.0069753030
0.8081837177 0.5517408282 0.8086253476 0.5504708747 0.0009835458
0.8208130720 0.5520575510 0.8179346319 0.5356017856 0.0029736865
0.8457681879 0.5035681455 0.8374650617 0.5130298990 0.0018015584
0.8019010476 0.5437490878 0.8081837177 0.5517408282 0.0014764711
0.8598632963 0.5458238884 0.8374650617 0.5130298990 0.0098988725
0.8477485799 0.5022468647 0.8457681879 0.5035681455 0.0010208233
0.8501690591 0.5006319660 0.8477485799 0.5022468647 0.0012476730
0.8119792772 0.5431450957 0.8179346319 0.5356017856 0.0015511601
0.7953932765 0.5437490878 0.8019010476 0.5437490878 0.0025646153
0.8533925019 0.4967080610 0.8501690591 0.5006319660 0.0009272078
-2.8025791260 1.5485072026 -2.7918040035 1.5687296939 0.0066479508
0.7729354400 0.4771380737 0.7800361100 0.4909584282 0.0061539861
0.8572225618 0.5470404883 0.8598632963 0.5458238884 0.0029939082
-2.7973004243 1.7369053331 -2.7679687366 1.6090816799 0.0238924672
0.8002056970 0.5398710157 0.8146591869 0.5416717597 0.0020807478
0.7702439825 0.4826469258 0.7729354400 0.4771380737 0.0028196295
0.8341728653 0.5571832629 0.8188670748 0.5381768426 0.0036350355
0.8316591828 0.5414235448 0.8339682163 0.5213698530 0.0044920340
0.7741290403 0.4786405201 0.7702439825 0.4826469258 0.0012658535
0.7817521596 0.5130298990 0.7800361100 0.4909584282 0.0047515530
0.7901617237 0.4913937769 0.7702439825 0.4826469258 0.0033612857
0.8140690200 0.5404464692 0.8316591828 0.5414235448 0.0065026939
0.8002056970 0.5614524930 0.8081837177 0.5517408282 0.0022948392
-2.7840532563 1.4860062196 -2.7871592147 1.4755146549 0.0110959921
0.7826863542 0.4652682612 0.7729354400 0.4771380737 0.0028048035
0.8358120664 0.4938363480 0.8457681879 0.5035681455 0.0054234327
0.8609151790 0.5238142062 0.8572225618 0.5470404883 0.0036341257
-2.7461351258 1.4504339234 -2.7871592147 1.4755146549 0.0089178925
0.8567746465 0.5645030710 0.8572225618 0.5470404883 0.0025121067
0.8511885318 0.4730672101 0.8533925019 0.4967080610 0.0033956260
0.7882180647 0.5263292128 0.8002056970 0.5398710157 0.0029966476
0.8541517475 0.5248315077 0.8363448671 0.5209951523 0.0026752635
0.8058654740 0.5738624130 0.8002056970 0.5614524930 0.0021898005
-2.7427452701 1.5590190185 -2.8025791260 1.5485072026 0.0094629608
0.8802408163 0.5279765259 0.8609151790 0.5238142062 0.0031025398
0.8706912139 0.5398710157 0.8324525039 0.5280012031 0.0059819313
0.8622510532 0.5356168725 0.8609151790 0.5238142062 0.0097072592
0.8715354951 0.5187327690 0.8609151790 0.5238142062 0.0017577209
0.7986676935 0.4671027218 0.8369710483 0.4829793776 0.0075498182
0.8026680221 0.4563877700 0.7826863542 0.4652682612 0.0031491876
0.8123764785 0.5874566062 0.8058654740 0.5738624130 0.0052059242
-2.7634073002 1.6331981573 -2.7427452701 1.5590190185 0.0136654789
-2.8158603285 1.4656729028 -2.7871592147 1.4755146549 0.0053261552
0.8445420405 0.4383155708 0.7986676935 0.4671027218 0.0077392074
0.8513298045 0.5383886321 0.8622510532 0.5356168725 0.0027157875
0.8282655129 0.5829885958 0.8567746465 0.5645030710 0.0063495377
0.8802408163 0.5135428683 0.8802408163 0.5279765259 0.0020619511
0.7651886378 0.4818509454 0.7901617237 0.4913937769 0.0124766513
0.8796931198 0.5321087791 0.8706912139 0.5398710157 0.0032730078
0.8041828831 0.5588169524 0.8140690200 0.5404464692 0.0047314724
-2.7910866053 1.8466687275 -2.7973004243 1.7369053331 0.0160079226
0.8709382166 0.4787101475 0.8511885318 0.4730672101 0.0029704671
0.8481752463 0.5863109155 0.8208130720 0.5520575510 0.0062749076
0.7818155627 0.5007040093 0.7651886378 0.4818509454 0.0046927393
0.9015160073 0.5430698119 0.8802408163 0.5279765259 0.0037621556
0.8787617149 0.5221384377 0.8622510532 0.5356168725 0.0043195215
0.8766004565 0.5596006913 0.8513298045 0.5383886321 0.0051389167
0.8762700471 0.5035657048 0.8533925019 0.4967080610 0.0034253511
0.8177033033 0.4377072985 0.8445420405 0.4383155708 0.0039642241
0.8862041519 0.5305205794 0.8787617149 0.5221384377 0.0023411586
0.8411016643 0.6078510832 0.8282655129 0.5829885958 0.0043529393
0.7725288654 0.5627598261 0.7953932765 0.5437490878 0.0064236285
0.8179346319 0.4537274991 0.8369710483 0.4829793776 0.0050418682
-2.7493268524 1.6178159875 -2.7634073002 1.6331981573 0.0031187128
0.7979509965 0.5561522396 0.8041828831 0.5588169524 0.0058976759
0.7332587909 0.4579473169 0.7651886378 0.4818509454 0.0066741223
0.9092141748 0.5417079962 0.8862041519 0.5305205794 0.0050600770
-2.8135701255 1.5574618758 -2.7918040035 1.5687296939 0.0065682822
0.7773225584 0.5637778017 0.8041828831 0.5588169524 0.0040680062
0.8637333054 0.4753987089 0.8802408163 0.5135428683 0.0060117891
0.7452277251 0.4325142804 0.7651886378 0.4818509454 0.0096471155
0.8719042558 0.4659947427 0.8709382166 0.4787101475 0.0048734469
-2.7561488418 1.8364047266 -2.7910866053 1.8466687275 0.0055660641
0.8319027072 0.4347673299 0.8179346319 0.4537274991 0.0039114595
0.8501690591 0.5006319660 0.8622510532 0.5356168725 0.0053529203
0.7982764970 0.4706423737 0.7651886378 0.4818509454 0.0054746136
0.8043043822 0.4686851488 0.8179346319 0.4537274991 0.0051469849
