# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1080250034 0.7854104210 -2.7438249764 1.9978729473 89.9378905102 89.9857213029 89.9378905102 0.1080250034 0.7854104210 0.6188565515
0.1080250034 0.7854104210 -2.7438249764 1.9978729473 89.9378905102 89.9857213029 89.9378905102 0.1080250034 0.7854104210 0.6188565515
0.1083980513 0.7854104210 -2.7412136410 1.9978729473 89.9521555274 89.9800622558 89.9521555274 0.1083980513 0.7854104210 0.6173206651
0.1078431040 0.7851201194 -2.7450982721 1.9958408358 89.8718182474 89.9741176739 89.8718182474 0.1078431040 0.7851201194 0.6196054548
0.1083302244 0.7852845196 -2.7416884292 1.9969916373 89.9369732203 89.9740082990 89.9369732203 0.1083302244 0.7852845196 0.6175999172
0.1081483250 0.7852231297 -2.7429617250 1.9965619076 89.9270856984 89.9733847230 89.9270856984 0.1081483250 0.7852231297 0.6183488204
0.1087032723 0.7852845196 -2.7390770939 1.9969916373 89.9106335193 89.9694708957 89.9106335193 0.1087032723 0.7852845196 0.6175999172
0.1074700561 0.7849942180 -2.7477096075 1.9949595259 89.7837395214 89.9678940078 89.7837395214 0.1074700561 0.7849942180 0.6211413412
0.1085213729 0.7853490311 -2.7403503896 1.9974432176 89.9422577453 89.9672180989 89.9422577453 0.1085213729 0.7853490311 0.6168129340
0.1086032276 0.7854796668 -2.7397774065 1.9983576678 89.9570539817 89.9623060158 89.9570539817 0.1086032276 0.7854796668 0.6164759276
0.1079778583 0.7853088028 -2.7441549921 1.9971616194 89.8969120920 89.9616217752 89.8969120920 0.1079778583 0.7853088028 0.6198471447
0.1087032723 0.7856393327 -2.7390770939 1.9994753290 89.9689899379 89.9555641192 89.9555641192 0.1087032723 0.7856393327 0.6160640307
0.1091318149 0.7855550516 -2.7360772954 1.9988853612 89.9491128286 89.9551089669 89.9491128286 0.1091318149 0.7855550516 0.6155562997
0.1071648351 0.7848912077 -2.7498461546 1.9942384541 89.7554420554 89.9514762807 89.7554420554 0.1071648351 0.7848912077 0.6211413412
0.1081483250 0.7854118130 -2.7429617250 1.9978826912 89.9147555713 89.9434041154 89.9147555713 0.1081483250 0.7854118130 0.6196537125
0.1087032723 0.7854104210 -2.7390770939 1.9978729473 89.9428201288 89.9414692701 89.9414692701 0.1087032723 0.7854104210 0.6160640307
0.1087710992 0.7855363225 -2.7386023056 1.9987542572 89.9536444385 89.9368820894 89.9368820894 0.1087710992 0.7855363225 0.6157847787
0.1071393299 0.7848825999 -2.7500246907 1.9941781992 89.6870710588 89.9294550114 89.6870710588 0.1071393299 0.7848825999 0.6225029835
0.1088265939 0.7854520413 -2.7382138425 1.9981642894 89.9388245131 89.9194099420 89.9194099420 0.1088265939 0.7854520413 0.6155562997
0.1088944208 0.7854749325 -2.7377390543 1.9983245276 89.9365636694 89.9056463867 89.9056463867 0.1088944208 0.7854749325 0.6152770476
