# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.6149558096 0.6557550187 0.8046906675 1.0902851310 89.9995589005 89.9992162265 89.9992162265 0.6149558096 0.6557550187 0.2296388458
0.6149558096 0.6557550187 0.8046906675 1.0902851310 89.9995589005 89.9992162265 89.9992162265 0.6149558096 0.6557550187 0.2296388458
0.6148416877 0.6560361978 0.8038918136 1.0922533846 89.9993233193 89.9990513789 89.9990513789 0.6148416877 0.6560361978 0.2295595895
0.6148209071 0.6560557452 0.8037463497 1.0923902166 89.9993285341 89.9990220570 89.9990220570 0.6148209071 0.6560557452 0.2294947434
0.6147747281 0.6559253548 0.8034230966 1.0914774836 89.9988103488 89.9987827431 89.9987827431 0.6147747281 0.6559253548 0.2297567478
0.6150397715 0.6556760392 0.8052784004 1.0897322744 89.9992888696 89.9986731697 89.9986731697 0.6150397715 0.6556760392 0.2294947434
0.6148209071 0.6558819161 0.8037463497 1.0911734125 89.9986338949 89.9985325723 89.9985325723 0.6148209071 0.6558819161 0.2299008502
0.6149935925 0.6557194779 0.8049551473 1.0900363455 89.9990134867 89.9984100825 89.9984100825 0.6149935925 0.6557194779 0.2297567478
0.6147285491 0.6559687935 0.8030998435 1.0917815548 89.9983051134 89.9981365374 89.9981365374 0.6147285491 0.6559687935 0.2297567478
0.6147622117 0.6559371285 0.8033354816 1.0915598995 89.9982210969 89.9981355061 89.9981355061 0.6147622117 0.6559371285 0.2299008502
0.6150397715 0.6556760392 0.8052784004 1.0897322744 89.9988909416 89.9981306999 89.9981306999 0.6150397715 0.6556760392 0.2296388458
0.6151014515 0.6558238962 0.8057101602 1.0907672736 89.9982797242 89.9979508133 89.9979508133 0.6151014515 0.6558238962 0.2299008502
0.6147141881 0.6559823023 0.8029993168 1.0918761162 89.9975905646 89.9973247058 89.9973247058 0.6147141881 0.6559823023 0.2299008502
0.6150397715 0.6556760392 0.8052784004 1.0897322744 89.9980478971 89.9970402825 89.9970402825 0.6150397715 0.6556760392 0.2299008502
0.6152783467 0.6560557452 0.8069484268 1.0923902166 89.9974010404 89.9968971753 89.9968971753 0.6152783467 0.6560557452 0.2296388458
0.6150397715 0.6556760392 0.8052784004 1.0897322744 89.9975099467 89.9963658649 89.9963658649 0.6150397715 0.6556760392 0.2300449526
0.6146020427 0.6558819161 0.8022142991 1.0911734125 89.9964231751 89.9963449495 89.9963449495 0.6146020427 0.6558819161 0.2299801065
0.6150397715 0.6555833946 0.8052784004 1.0890837622 89.9975483859 89.9959734900 89.9959734900 0.6150397715 0.6555833946 0.2299008502
0.6150397715 0.6556760392 0.8052784004 1.0897322744 89.9971883843 89.9959675163 89.9959675163 0.6150397715 0.6556760392 0.2301242089
0.6150917648 0.6562312553 0.8056423536 1.0936187869 89.9972034471 89.9957531876 89.9957531876 0.6150917648 0.6562312553 0.2299008502
0.6151601469 0.6555628069 0.8061210283 1.0889396484 89.9973553346 89.9957239742 89.9957239742 0.6151601469 0.6555628069 0.2296388458
0.6148215469 0.6554404190 0.8037508286 1.0880829333 89.9973454089 89.9950294814 89.9950294814 0.6148215469 0.6554404190 0.2296388458
0.6144229719 0.6558819161 0.8009608031 1.0911734125 89.9947906607 89.9947956258 89.9947906607 0.6144229719 0.6558819161 0.2299008502
0.6151601469 0.6555628069 0.8061210283 1.0889396484 89.9961189089 89.9941402282 89.9941402282 0.6151601469 0.6555628069 0.2299008502
0.6147141881 0.6563566239 0.8029993168 1.0944963673 89.9960264181 89.9936765048 89.9936765048 0.6147141881 0.6563566239 0.2297567478
0.6145433473 0.6561430054 0.8018034309 1.0930010376 89.9946816768 89.9934415917 89.9934415917 0.6145433473 0.6561430054 0.2299008502
0.6152188423 0.6555075945 0.8065318964 1.0885531614 89.9957319672 89.9933870546 89.9933870546 0.6152188423 0.6555075945 0.2297567478
0.6151924294 0.6555324401 0.8063470058 1.0887270806 89.9954865203 89.9931968917 89.9931968917 0.6151924294 0.6555324401 0.2299008502
0.6145436307 0.6556438729 0.8018054150 1.0895071103 89.9942744097 89.9926032961 89.9926032961 0.6145436307 0.6556438729 0.2299008502
0.6152188423 0.6555075945 0.8065318964 1.0885531614 89.9949324807 89.9923731203 89.9923731203 0.6152188423 0.6555075945 0.2299008502
0.6152188423 0.6555075945 0.8065318964 1.0885531614 89.9944738800 89.9917969138 89.9917969138 0.6152188423 0.6555075945 0.2299801065
0.6143642764 0.6561430054 0.8005499349 1.0930010376 89.9922082557 89.9908334748 89.9908334748 0.6143642764 0.6561430054 0.2299008502
0.6151648293 0.6552840262 0.8061538051 1.0869881831 89.9938523826 89.9893757409 89.9893757409 0.6151648293 0.6552840262 0.2299008502
0.6143914273 0.6555075945 0.8007399908 1.0885531614 89.9917788917 89.9888245464 89.9888245464 0.6143914273 0.6555075945 0.2297567478
0.6151471303 0.6551341559 0.8060299123 1.0859390914 89.9927940317 89.9868120769 89.9868120769 0.6151471303 0.6551341559 0.2299008502
0.6143162529 0.6563566239 0.8002137701 1.0944963673 89.9893128194 89.9859166003 89.9859166003 0.6143162529 0.6563566239 0.2299008502
0.6147296671 0.6550607130 0.8031076700 1.0854249910 89.9916032890 89.9846393201 89.9846393201 0.6147296671 0.6550607130 0.2299008502
0.6154377067 0.6553017176 0.8080639471 1.0871120233 89.9890502592 89.9837554135 89.9837554135 0.6154377067 0.6553017176 0.2299008502
0.6147500260 0.6570469985 0.8032501817 1.0993289895 89.9935100712 89.9832983346 89.9832983346 0.6147500260 0.6570469985 0.2294244786
0.6150397715 0.6549220116 0.8052784004 1.0844540811 89.9907313124 89.9820725185 89.9820725185 0.6150397715 0.6549220116 0.2301628546
0.6145548281 0.6567363299 0.8018837965 1.0971543095 89.9894897982 89.9818440345 89.9818440345 0.6145548281 0.6567363299 0.2299008502
0.6145829718 0.6550607130 0.8020808023 1.0854249910 89.9890435800 89.9813822542 89.9813822542 0.6145829718 0.6550607130 0.2299008502
0.6151991315 0.6549220116 0.8063939207 1.0844540811 89.9875310848 89.9779172087 89.9779172087 0.6151991315 0.6549220116 0.2301628546
0.6152349694 0.6546907969 0.8066447856 1.0828355781 89.9863346434 89.9742764102 89.9742764102 0.6152349694 0.6546907969 0.2299008502
0.6149886011 0.6574267045 0.8049202080 1.1019869318 89.9905123374 89.9704418711 89.9704418711 0.6149886011 0.6574267045 0.2291624742
0.1960350144 0.8669028889 -2.1277548992 2.5683202221 89.9793395560 89.9683011903 89.9683011903 0.1960350144 0.8669028889 0.3709552238
0.1960350144 0.8669028889 -2.1277548992 2.5683202221 89.9793395560 89.9683011903 89.9683011903 0.1960350144 0.8669028889 0.3709552238
0.6153064904 0.6543801283 0.8071454326 1.0806608981 89.9804942036 89.9633398415 89.9633398415 0.6153064904 0.6543801283 0.2299008502
0.6150679152 0.6540004223 0.8054754062 1.0780029559 89.9818327199 89.9610533219 89.9610533219 0.6150679152 0.6540004223 0.2299008502
0.6148011963 0.6540004223 0.8036083741 1.0780029559 89.9807656714 89.9595835476 89.9595835476 0.6148011963 0.6540004223 0.2299008502
0.6143914273 0.6559945888 0.8007399908 1.0919621216 87.6895497528 87.5919908948 87.5919908948 0.6143914273 0.6559945888 0.1956024796
0.5931093386 0.6556760392 0.6517653702 1.0897322744 85.5878810849 85.7780517183 85.5878810849 0.5931093386 0.6556760392 0.2179075223
0.6315270529 0.6535056434 0.9206893701 1.0745395038 85.2040279892 85.4081062086 85.2040279892 0.6315270529 0.6535056434 0.2172506907
