# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.0739197351 0.4843805200 -2.9825618540 -0.1093363599 14.1749277120 24.6601117152 14.1749277120 0.0739197351 0.4843805200 0.4912857396
0.9081298407 0.3290488567 2.8569088850 -1.1966580028 12.8881256039 12.8354158484 12.8354158484 0.9081298407 0.3290488567 0.0920935014
0.4630219600 0.8439634829 -0.2588462797 2.4077443806 38.8248527663 19.3313684625 19.3313684625 0.4630219600 0.8439634829 0.5870828515
0.7461082973 0.6009824006 1.7227580808 0.7068768043 12.4996207663 15.5911775798 12.4996207663 0.7461082973 0.6009824006 0.6536066334
0.4291535040 0.5503180080 -0.4959254721 0.3522260563 12.4996207663 11.6695445013 11.6695445013 0.4291535040 0.5503180080 0.8868455094
0.6184947597 0.1157632249 0.8294633178 -2.6896574257 12.8881256039 11.6695445013 11.6695445013 0.6184947597 0.1157632249 0.8810191302
0.9768739585 0.0809558646 3.3381177096 -2.9333089478 12.8881256039 12.8354158484 12.8354158484 0.9768739585 0.0809558646 0.2198377964
0.5305033994 0.2849346529 0.2135237961 -1.5054574300 12.8881256039 11.6695445013 11.6695445013 0.5305033994 0.2849346529 0.9291155755
0.0408331144 0.4082501209 -3.2141681990 -0.6422491534 14.1749277120 11.6940417532 11.6940417532 0.0408331144 0.4082501209 0.5453366303
0.7980423099 0.8655419240 2.0862961696 2.5587934679 15.5911775798 17.7601184652 15.5911775798 0.7980423099 0.8655419240 0.1741238965
0.0204876150 0.0240135127 -3.3565866949 -3.3319054110 11.7768412735 14.8796046587 11.7768412735 0.0204876150 0.0240135127 0.9288126782
0.7996457851 0.3066054287 2.0975204957 -1.3537619989 12.8881256039 12.8354158484 12.8354158484 0.7996457851 0.3066054287 0.4406551017
0.9784159499 0.3498610764 3.3489116491 -1.0509724652 12.8881256039 12.8354158484 12.8354158484 0.9784159499 0.3498610764 0.0744428667
0.2283542797 0.7968480982 -1.9015200424 2.0779366876 14.1749277120 11.6940417532 11.6940417532 0.2283542797 0.7968480982 0.2777017310
0.5058873494 0.0838312041 0.0412114459 -2.9131815710 12.8881256039 12.8354158484 12.8354158484 0.5058873494 0.0838312041 0.2623056801
0.9038050485 0.2937365779 2.8266353393 -1.4438439545 12.8881256039 11.6695445013 11.6695445013 0.9038050485 0.2937365779 0.7886620257
0.0904337848 0.8032277767 -2.8669635061 2.1225944368 14.1749277120 11.6940417532 11.6940417532 0.0904337848 0.8032277767 0.5998927221
0.9122377722 0.1465867870 2.8856644054 -2.4738924908 12.8881256039 12.8354158484 12.8354158484 0.9122377722 0.1465867870 0.0134741927
0.1191528008 0.1310905549 -2.6659303941 -2.5823661157 11.7768412735 11.6940417532 11.6940417532 0.1191528008 0.1310905549 0.5501506290
0.6678969486 0.3286430884 1.1752786405 -1.1994983815 12.8881256039 12.8354158484 12.8354158484 0.6678969486 0.3286430884 0.0656372744
0.2625627621 0.8169656575 -1.6620606652 2.2187596027 14.1749277120 11.6940417532 11.6940417532 0.2625627621 0.8169656575 0.2950919175
0.8554977369 0.3133922232 2.4884841586 -1.3062544374 12.8881256039 12.8354158484 12.8354158484 0.8554977369 0.3133922232 0.1112029310
0.0847321999 0.4807065015 -2.9068746008 -0.1350544895 14.1749277120 12.4897033132 12.4897033132 0.0847321999 0.4807065015 0.4486259326
0.9374202999 0.1785213067 3.0619420995 -2.2503508531 13.8830736354 12.8354158484 12.8354158484 0.9374202999 0.1785213067 0.3627403396
0.3178982280 0.2842773067 -1.2747124038 -1.5100588533 11.7768412735 11.6940417532 11.6940417532 0.3178982280 0.2842773067 0.3094268892
