# from_x0 from_x1 to_x0 to_x1 length
0.3763613522 2.3620067487 0.3777898627 2.3625710132 0.0002674835
0.3797338011 2.3632539225 0.3777898627 2.3625710132 0.0005269996
0.3786646350 2.3631589801 0.3777898627 2.3625710132 0.0002477255
0.3796575721 2.3629466133 0.3786646350 2.3631589801 0.0002091008
0.3801966825 2.3635397916 0.3797338011 2.3632539225 0.0000777201
0.3803871546 2.3635969486 0.3801966825 2.3635397916 0.0001615601
0.3815598430 2.3626416229 0.3801966825 2.3635397916 0.0002756228
0.3812658486 2.3639153918 0.3815598430 2.3626416229 0.0002088579
0.3777898627 2.3625710132 0.3763613522 2.3620067487 0.0002930929
0.3797338011 2.3638776063 0.3801966825 2.3635397916 0.0000818633
0.3811856979 2.3635348281 0.3803871546 2.3635969486 0.0001854057
0.3811856979 2.3632539225 0.3811856979 2.3635348281 0.0000628974
0.3820498190 2.3634520986 0.3815598430 2.3626416229 0.0002487701
0.3813049303 2.3642379263 0.3812658486 2.3639153918 0.0002932296
0.3784159084 2.3641450923 0.3786646350 2.3631589801 0.0001543672
0.3773467423 2.3640501498 0.3777898627 2.3625710132 0.0002405211
0.3816015104 2.3642532064 0.3820498190 2.3634520986 0.0001698322
0.3789352578 2.3642206323 0.3797338011 2.3638776063 0.0002305968
0.3746640107 2.3626458127 0.3777898627 2.3625710132 0.0005860889
0.3766880997 2.3639901912 0.3784159084 2.3641450923 0.0002947845
0.3832682344 2.3651192596 0.3813049303 2.3642379263 0.0004057428
0.3756480591 2.3645925929 0.3773467423 2.3640501498 0.0002621851
0.3801165318 2.3638776063 0.3796575721 2.3629466133 0.0002511488
0.3813314264 2.3644565938 0.3813049303 2.3642379263 0.0001987997
0.3809465614 2.3620385878 0.3815598430 2.3626416229 0.0002673306
0.3803750988 2.3615015318 0.3796575721 2.3629466133 0.0003069770
0.3821299696 2.3622572976 0.3809465614 2.3620385878 0.0002265932
0.3817441285 2.3635274790 0.3813314264 2.3644565938 0.0002015156
0.3772914205 2.3626751828 0.3746640107 2.3626458127 0.0003762868
0.3811172716 2.3645485872 0.3813314264 2.3644565938 0.0000618419
0.3789352578 2.3635969486 0.3789352578 2.3642206323 0.0003473179
0.3813429434 2.3652869710 0.3816015104 2.3642532064 0.0001522301
0.3805003173 2.3652661889 0.3813429434 2.3652869710 0.0001788656
0.3789467749 2.3650510094 0.3784159084 2.3641450923 0.0002446202
0.3771485650 2.3649470876 0.3789352578 2.3642206323 0.0002780963
0.3820919565 2.3630645232 0.3817441285 2.3635274790 0.0001711552
0.3840729098 2.3616520518 0.3811856979 2.3632539225 0.0004716879
0.3789963113 2.3663970966 0.3789352578 2.3635969486 0.0004001404
0.3822492020 2.3650975716 0.3820919565 2.3630645232 0.0004944018
0.3790098525 2.3661732106 0.3789467749 2.3650510094 0.0002259628
0.3800197020 2.3675740579 0.3789963113 2.3663970966 0.0002940565
0.3781977680 2.3667401227 0.3789963113 2.3663970966 0.0002305968
0.3798696152 2.3652161134 0.3772914205 2.3626751828 0.0005177013
0.3814506587 2.3654405976 0.3822492020 2.3650975716 0.0002305968
0.3923014059 2.3675097866 0.3832682344 2.3651192596 0.0013430371
0.3817686491 2.3649664954 0.3814506587 2.3654405976 0.0002125606
0.3592872584 2.3631962015 0.3746640107 2.3626458127 0.0022948730
0.3830217880 2.3658009177 0.3817686491 2.3649664954 0.0003970226
0.3790577812 2.3690082173 0.3789963113 2.3663970966 0.0005483925
0.3835202311 2.3672691282 0.3830217880 2.3658009177 0.0002275646
0.3794367508 2.3658614851 0.3798696152 2.3652161134 0.0002893481
0.3811579668 2.3685797497 0.3814506587 2.3654405976 0.0004503954
0.3843072573 2.3660957251 0.3830217880 2.3658009177 0.0004728079
0.4013960762 2.3709918572 0.3843072573 2.3660957251 0.0027675436
0.3533434375 2.3632539225 0.3592872584 2.3631962015 0.0012524681
0.3813036953 2.3697824210 0.3790577812 2.3690082173 0.0005926226
0.3782707550 2.3701816205 0.3813036953 2.3697824210 0.0004370142
0.3811856979 2.3632539225 0.3794367508 2.3658614851 0.0010615175
0.4052103120 2.3625987951 0.4013960762 2.3709918572 0.0018135637
0.3765218079 2.3701816205 0.3794367508 2.3658614851 0.0007445100
0.4203167935 2.3716547781 0.4013960762 2.3709918572 0.0042625588
0.3610362055 2.3685513808 0.3592872584 2.3631962015 0.0013465724
0.4185678464 2.3742623407 0.4203167935 2.3716547781 0.0011690834
0.3803986717 2.3644273257 0.3811856979 2.3632539225 0.0005260875
0.4263360121 2.3748381676 0.4203167935 2.3716547781 0.0023805361
0.4153879427 2.3645256511 0.4052103120 2.3625987951 0.0021062474
0.4314598868 2.3773763412 0.4263360121 2.3748381676 0.0016619698
0.3382762663 2.3659414348 0.3533434375 2.3632539225 0.0022666952
0.3365273193 2.3685489974 0.3382762663 2.3659414348 0.0011690834
0.4107046812 2.3693976941 0.4203167935 2.3716547781 0.0015570200
0.4235931505 2.3656163855 0.4153879427 2.3645256511 0.0011844307
0.3561073547 2.3701816205 0.3610362055 2.3685513808 0.0008381179
0.3622120637 2.3759750410 0.3610362055 2.3685513808 0.0018862986
0.3853195983 2.3549782435 0.3811856979 2.3632539225 0.0014476134
0.4272517678 2.3563946653 0.4235931505 2.3656163855 0.0015841830
0.3835706512 2.3575858061 0.3853195983 2.3549782435 0.0011690834
0.3411535673 2.3758375899 0.3365273193 2.3685489974 0.0012511206
0.4290007149 2.3537871027 0.4272517678 2.3563946653 0.0011690834
0.4560240215 2.3840071690 0.4314598868 2.3773763412 0.0048265748
0.4195369614 2.3662113128 0.4263360121 2.3748381676 0.0016312079
0.4282327143 2.3696418565 0.4235931505 2.3656163855 0.0024477991
0.3440685102 2.3689098920 0.3411535673 2.3758375899 0.0023068256
0.3162531223 2.3603836721 0.3365273193 2.3685489974 0.0034089560
0.3803907474 2.3623268289 0.3835706512 2.3575858061 0.0021256062
0.3783768357 2.3563946653 0.3803907474 2.3623268289 0.0009194528
0.4457565508 2.3598980397 0.4290007149 2.3537871027 0.0030331084
0.3347523744 2.3642950308 0.3440685102 2.3689098920 0.0030217633
0.3575714455 2.3846065163 0.3561073547 2.3701816205 0.0020893921
0.3101467521 2.3502153811 0.3347523744 2.3642950308 0.0066165442
0.3198658663 2.3701816205 0.3347523744 2.3642950308 0.0022915835
0.4468771605 2.3606932556 0.4457565508 2.3598980397 0.0010669048
0.4185678464 2.3597846282 0.4195369614 2.3662113128 0.0009297213
0.3144602656 2.3533967636 0.3101467521 2.3502153811 0.0009265882
0.4585407732 2.3730788777 0.4468771605 2.3606932556 0.0024600325
0.4014846553 2.3443599783 0.3853195983 2.3549782435 0.0028897625
0.2825254663 2.3509672309 0.3101467521 2.3502153811 0.0048499306
0.3379736635 2.3805786127 0.3440685102 2.3689098920 0.0018823036
0.2812705073 2.3622572976 0.2825254663 2.3509672309 0.0039091212
0.2942040728 2.3683938685 0.3162531223 2.3603836721 0.0035978324
0.4672373594 2.3575311382 0.4585407732 2.3730788777 0.0029680503
0.4799587955 2.3611697682 0.4560240215 2.3840071690 0.0047260335
0.4285181328 2.3510026671 0.4185678464 2.3597846282 0.0019336396
0.4914353348 2.3698884987 0.4799587955 2.3611697682 0.0039300324
0.4446647979 2.3790481921 0.4282327143 2.3696418565 0.0032691598
0.4515381940 2.3512779982 0.4672373594 2.3575311382 0.0036292785
0.3788403010 2.3701065688 0.4107046812 2.3693976941 0.0046659502
0.3618040699 2.3843252828 0.3575714455 2.3846065163 0.0043657701
0.2745499954 2.3730416822 0.2812705073 2.3622572976 0.0024822365
0.4322016936 2.3621940833 0.4446647979 2.3790481921 0.0032162766
0.3379104563 2.3665360936 0.3347523744 2.3642950308 0.0030067317
0.4228114148 2.3286130712 0.4272517678 2.3563946653 0.0049986664
0.3430096786 2.3520279968 0.3379104563 2.3665360936 0.0044522362
0.3837183946 2.3773763412 0.3788403010 2.3701065688 0.0023091147
0.2565749101 2.3221418755 0.2812705073 2.3622572976 0.0141783542
0.3782707550 2.3257651708 0.4014846553 2.3443599783 0.0046090657
0.4068146920 2.3815509660 0.3803907474 2.3623268289 0.0047276992
0.2299571958 2.3461223622 0.2812705073 2.3622572976 0.0088550821
0.3337487712 2.3472450554 0.3430096786 2.3520279968 0.0028535976
0.5159538590 2.3673906339 0.4914353348 2.3698884987 0.0037479776
0.3744852644 2.3257651708 0.3782707550 2.3257651708 0.0014772239
0.5037687015 2.3924869564 0.4914353348 2.3698884987 0.0113603567
0.2755231583 2.3341582343 0.2565749101 2.3221418755 0.0033733792
