# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5539699804 0.8375101447 0.3777898627 2.3625710132 89.9995484262 89.9998829766 89.9995484262 0.5539699804 0.8375101447 0.4250937681
0.5539699804 0.8375101447 0.3777898627 2.3625710132 89.9995484262 89.9998829766 89.9995484262 0.5539699804 0.8375101447 0.4250937681
0.5537659075 0.8374295355 0.3763613522 2.3620067487 89.9991691690 89.9994523994 89.9991691690 0.5537659075 0.8374295355 0.4252467511
0.5542476859 0.8376077032 0.3797338011 2.3632539225 89.9957409684 89.9989953144 89.9957409684 0.5542476859 0.8376077032 0.4246566290
0.5540949479 0.8375941400 0.3786646350 2.3631589801 89.9977918693 89.9988718222 89.9977918693 0.5540949479 0.8375941400 0.4248970555
0.5542367960 0.8375638019 0.3796575721 2.3629466133 89.9911875792 89.9979991193 89.9911875792 0.5542367960 0.8375638019 0.4250476605
0.5543138118 0.8376485417 0.3801966825 2.3635397916 89.9929480658 89.9975156650 89.9929480658 0.5543138118 0.8376485417 0.4246565744
0.5543410221 0.8376567069 0.3803871546 2.3635969486 89.9874480809 89.9961001859 89.9874480809 0.5543410221 0.8376567069 0.4248156172
0.5545085490 0.8375202318 0.3815598430 2.3626416229 89.9926964883 89.9960326686 89.9926964883 0.5545085490 0.8375202318 0.4245096664
0.5544665498 0.8377021988 0.3812658486 2.3639153918 89.9887709832 89.9959855690 89.9887709832 0.5544665498 0.8377021988 0.4244161479
0.5539699804 0.8375101447 0.3777898627 2.3625710132 89.9959022522 89.9957055839 89.9957055839 0.5539699804 0.8375101447 0.4254410700
0.5542476859 0.8376968009 0.3797338011 2.3638776063 89.9929190527 89.9956523161 89.9929190527 0.5542476859 0.8376968009 0.4246566290
0.5544550997 0.8376478326 0.3811856979 2.3635348281 89.9756285954 89.9949453169 89.9756285954 0.5544550997 0.8376478326 0.4249615035
0.5544550997 0.8376077032 0.3811856979 2.3632539225 89.9765637219 89.9943648680 89.9765637219 0.5544550997 0.8376077032 0.4250099361
0.5545785456 0.8376360141 0.3820498190 2.3634520986 89.9762091481 89.9942751190 89.9762091481 0.5545785456 0.8376360141 0.4247184283
0.5544721329 0.8377482752 0.3813049303 2.3642379263 89.9816674203 89.9926373567 89.9816674203 0.5544721329 0.8377482752 0.4241266148
0.5539066775 0.8377214500 0.3773467423 2.3640501498 89.9957938233 89.9917017701 89.9917017701 0.5539066775 0.8377214500 0.4251896494
0.5545145015 0.8377504581 0.3816015104 2.3642532064 89.9772572144 89.9911706966 89.9772572144 0.5545145015 0.8377504581 0.4246105214
0.5541336083 0.8377458046 0.3789352578 2.3642206323 89.9888781659 89.9908393893 89.9888781659 0.5541336083 0.8377458046 0.4244623101
0.5535234301 0.8375208304 0.3746640107 2.3626458127 89.9978031175 89.9907505372 89.9907505372 0.5535234301 0.8375208304 0.4258205154
0.5538125857 0.8377128845 0.3766880997 2.3639901912 89.9868445170 89.9900711778 89.9868445170 0.5538125857 0.8377128845 0.4247895881
0.5547526049 0.8378741799 0.3832682344 2.3651192596 89.9656066952 89.9877718445 89.9656066952 0.5547526049 0.8378741799 0.4238618306
0.5536640084 0.8377989418 0.3756480591 2.3645925929 89.9892994712 89.9867342528 89.9867342528 0.5536640084 0.8377989418 0.4252516800
0.5543023617 0.8376968009 0.3801165318 2.3638776063 89.9728909978 89.9861421449 89.9728909978 0.5543023617 0.8376968009 0.4252503626
0.5544759181 0.8377795134 0.3813314264 2.3644565938 89.9758647356 89.9852615287 89.9758647356 0.5544759181 0.8377795134 0.4239303212
0.5544209373 0.8374340840 0.3809465614 2.3620385878 89.9963190481 89.9845043599 89.9845043599 0.5544209373 0.8374340840 0.4242722461
0.5543392998 0.8373573617 0.3803750988 2.3615015318 89.9760670705 89.9843865579 89.9760670705 0.5543392998 0.8373573617 0.4252504172
0.5545899957 0.8374653282 0.3821299696 2.3622572976 89.9939022262 89.9840869981 89.9840869981 0.5545899957 0.8374653282 0.4241246401
0.5545348755 0.8376467827 0.3817441285 2.3635274790 89.9809696841 89.9816593030 89.9809696841 0.5545348755 0.8376467827 0.4237906246
0.5538987744 0.8375250261 0.3772914205 2.3626751828 89.9900828647 89.9816481162 89.9816481162 0.5538987744 0.8375250261 0.4258467995
0.5544453245 0.8377926553 0.3811172716 2.3645485872 89.9740586684 89.9810765119 89.9740586684 0.5544453245 0.8377926553 0.4238782084
0.5541336083 0.8376567069 0.3789352578 2.3635969486 89.9853895154 89.9806418892 89.9806418892 0.5541336083 0.8376567069 0.4241266148
0.5544775633 0.8378981387 0.3813429434 2.3652869710 89.9694676867 89.9777571955 89.9694676867 0.5544775633 0.8378981387 0.4246104668
0.5543571882 0.8378951698 0.3805003173 2.3652661889 89.9742287619 89.9773286020 89.9742287619 0.5543571882 0.8378951698 0.4247427314
0.5541352536 0.8378644299 0.3789467749 2.3650510094 89.9781840316 89.9769434726 89.9769434726 0.5541352536 0.8378644299 0.4251424557
0.5538783664 0.8378495839 0.3771485650 2.3649470876 89.9707289644 89.9767798246 89.9707289644 0.5538783664 0.8378495839 0.4244999799
0.5545845652 0.8375806462 0.3820919565 2.3630645232 89.9817381937 89.9685710086 89.9685710086 0.5545845652 0.8375806462 0.4236407881
0.5548675585 0.8373788645 0.3840729098 2.3616520518 89.9427494460 89.9659390778 89.9427494460 0.5548675585 0.8373788645 0.4250099361
0.5541423302 0.8380567281 0.3789963113 2.3663970966 89.9560754849 89.9636725045 89.9560754849 0.5541423302 0.8380567281 0.4241222196
0.5546070289 0.8378710817 0.3822492020 2.3650975716 89.9498959936 89.9511978212 89.9498959936 0.5546070289 0.8378710817 0.4232413188
0.5541442646 0.8380247444 0.3790098525 2.3661732106 89.9578987441 89.9507634042 89.9507634042 0.5541442646 0.8380247444 0.4253014439
0.5542885289 0.8382248654 0.3800197020 2.3675740579 89.9395570266 89.9465260000 89.9395570266 0.5542885289 0.8382248654 0.4239303212
0.5540282526 0.8381057318 0.3781977680 2.3667401227 89.9247411325 89.9372464989 89.9247411325 0.5540282526 0.8381057318 0.4239279007
0.5542670879 0.8378880162 0.3798696152 2.3652161134 89.9280398452 89.9256152043 89.9256152043 0.5542670879 0.8378880162 0.4258223463
0.5544929512 0.8379200854 0.3814506587 2.3654405976 89.9380771994 89.9211654228 89.9211654228 0.5544929512 0.8379200854 0.4230469999
0.5560430580 0.8382156838 0.3923014059 2.3675097866 89.7309046584 89.9211264228 89.7309046584 0.5560430580 0.8382156838 0.4237139973
0.5545383784 0.8378523565 0.3817686491 2.3649664954 89.9371174208 89.9127747733 89.9127747733 0.5545383784 0.8378523565 0.4228507063
