# from_x0 from_x1 to_x0 to_x1 length
1.2899247391 -0.7698215281 1.2904831776 -0.7698215281 0.0003590739
1.2904831776 -0.7662064323 1.2904831776 -0.7698215281 0.0005164422
1.2918044110 -0.7670312693 1.2904831776 -0.7662064323 0.0003023973
1.2894678348 -0.7706903574 1.2899247391 -0.7698215281 0.0003189305
1.2891508711 -0.7721044670 1.2899247391 -0.7698215281 0.0003452692
1.2875224966 -0.7748947258 1.2891508711 -0.7721044670 0.0006089956
1.2869750652 -0.7721044670 1.2875224966 -0.7748947258 0.0013712312
1.2866679240 -0.7721044670 1.2869750652 -0.7721044670 0.0001974907
1.2859687282 -0.7718098307 1.2866679240 -0.7721044670 0.0012338740
1.2937199137 -0.7681947350 1.2918044110 -0.7670312693 0.0023564360
1.2939822842 -0.7682241986 1.2937199137 -0.7681947350 0.0002804057
1.2848987922 -0.7746000894 1.2859687282 -0.7718098307 0.0004295137
1.2914785074 -0.7748947258 1.2937199137 -0.7681947350 0.0010215920
1.2835664857 -0.7768830284 1.2848987922 -0.7746000894 0.0004982691
1.2850901424 -0.7720875503 1.2914785074 -0.7748947258 0.0014992546
1.2819057679 -0.7796654893 1.2866679240 -0.7721044670 0.0012790309
1.2969441156 -0.7721343913 1.2939822842 -0.7682241986 0.0017858781
1.2819381112 -0.7796732872 1.2835664857 -0.7768830284 0.0006089956
1.2884150489 -0.7841057305 1.2819057679 -0.7796654893 0.0011384925
1.2986339027 -0.7793786508 1.2969441156 -0.7721343913 0.0012233108
1.2968278424 -0.7667635613 1.2969441156 -0.7721343913 0.0007864820
1.2926098318 -0.7740163186 1.2969441156 -0.7721343913 0.0008067508
1.2942382064 -0.7712260598 1.2969441156 -0.7721343913 0.0004101734
1.2922928682 -0.7754304282 1.2926098318 -0.7740163186 0.0003739851
1.3001499060 -0.7809734022 1.2986339027 -0.7793786508 0.0015643891
1.3124805721 -0.7801500704 1.3001499060 -0.7809734022 0.0048938148
1.2774236618 -0.7748947258 1.2819381112 -0.7796732872 0.0035791648
1.2876719599 -0.7760105352 1.2819381112 -0.7796732872 0.0017623864
1.3068786961 -0.7784790639 1.3124805721 -0.7801500704 0.0018553038
1.2976759246 -0.7662064323 1.2968278424 -0.7667635613 0.0010214835
1.2988868914 -0.7888005993 1.2986339027 -0.7793786508 0.0015272101
1.3096199875 -0.7697757088 1.3001499060 -0.7809734022 0.0021256433
1.3042182881 -0.7746000894 1.3068786961 -0.7784790639 0.0011546905
1.2954188734 -0.7713586462 1.2976759246 -0.7662064323 0.0008038800
1.2763878064 -0.7824262844 1.2819057679 -0.7796654893 0.0011103230
1.2976759246 -0.7532764077 1.2918044110 -0.7670312693 0.0023936131
1.2673199399 -0.7667421348 1.2774236618 -0.7748947258 0.0040224579
1.2941883556 -0.7640349099 1.2976759246 -0.7662064323 0.0007130679
1.3020189318 -0.7642615886 1.3042182881 -0.7746000894 0.0015169482
1.3053931106 -0.7566564547 1.3124805721 -0.7801500704 0.0038275082
1.3001499060 -0.7771441499 1.3042182881 -0.7746000894 0.0008026745
1.2998225918 -0.7664474984 1.3020189318 -0.7642615886 0.0006717022
1.3144820753 -0.7723471199 1.3053931106 -0.7566564547 0.0029543319
1.3002996290 -0.7665010687 1.3020189318 -0.7642615886 0.0004033349
1.3305998804 -0.7739067549 1.3124805721 -0.7801500704 0.0027427819
1.2724317956 -0.7844145870 1.2774236618 -0.7748947258 0.0022131776
1.3058840144 -0.7662064323 1.3053931106 -0.7566564547 0.0015712836
1.3068786961 -0.7572484489 1.3053931106 -0.7566564547 0.0013397242
1.3024462962 -0.7667421348 1.3058840144 -0.7662064323 0.0013244176
1.2735926369 -0.7754304282 1.2875224966 -0.7748947258 0.0021006800
1.2819057679 -0.7565953375 1.2941883556 -0.7640349099 0.0021138818
1.2830294890 -0.7526551352 1.2819057679 -0.7565953375 0.0013434914
1.2326926785 -0.7711888057 1.2673199399 -0.7667421348 0.0050114954
1.2685666645 -0.7847728402 1.2735926369 -0.7754304282 0.0019775426
1.2614016683 -0.7748947258 1.2673199399 -0.7667421348 0.0024427728
1.2943873872 -0.7595848618 1.3053931106 -0.7566564547 0.0016346058
1.2646392562 -0.7855876676 1.2774236618 -0.7748947258 0.0025870463
1.3033564865 -0.7534877825 1.3068786961 -0.7572484489 0.0010983906
1.2788138021 -0.7866685446 1.2646392562 -0.7855876676 0.0021146735
1.2943873872 -0.7972606448 1.2788138021 -0.7866685446 0.0027674931
1.2461697741 -0.7353241291 1.2859687282 -0.7718098307 0.0077546760
1.3626555737 -0.7564594168 1.3305998804 -0.7739067549 0.0061990018
1.2210045231 -0.7513391154 1.2326926785 -0.7711888057 0.0047138274
1.2674423522 -0.7763983060 1.2685666645 -0.7847728402 0.0012081871
1.2394440620 -0.7270783827 1.2210045231 -0.7513391154 0.0059972816
1.3653782463 -0.8441455094 1.3626555737 -0.7564594168 0.0134609072
1.2824535280 -0.7429079253 1.2830294890 -0.7526551352 0.0021716200
1.2755886373 -0.7667421348 1.2819057679 -0.7565953375 0.0019973234
1.2766595579 -0.7844550288 1.2788138021 -0.7866685446 0.0027748276
1.2808008284 -0.7802376797 1.2954188734 -0.7713586462 0.0025827988
1.2943873872 -0.7454022636 1.2943873872 -0.7595848618 0.0020260855
1.2950838131 -0.7552893679 1.3033564865 -0.7534877825 0.0012854139
1.3418727348 -0.7745011242 1.3626555737 -0.7564594168 0.0083499822
1.3797797114 -0.7996106014 1.3418727348 -0.7745011242 0.0128571078
1.3616643390 -0.7738527636 1.3418727348 -0.7745011242 0.0038419686
1.3205465650 -0.7715912413 1.3418727348 -0.7745011242 0.0031033280
1.2102486595 -0.7014117843 1.2210045231 -0.7513391154 0.0073798811
1.2545843467 -0.7981347916 1.2646392562 -0.7855876676 0.0034721328
