# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1128639479 0.6386874022 -2.7099523645 0.9708118152 89.9322439296 89.9375586358 89.9322439296 0.1128639479 0.6386874022 0.5136322048
0.8567900865 0.4506388760 2.4975306056 -0.3455278677 89.4270315909 89.6834843633 89.4270315909 0.8567900865 0.4506388760 0.8724193275
0.1218385691 0.6347826734 -2.6471300162 0.9434787139 84.7682181766 86.7424455522 84.7682181766 0.1218385691 0.6347826734 0.4796388560
0.8481803361 0.4671087296 2.4372623525 -0.2302388926 82.8580353882 85.0384643679 82.8580353882 0.8481803361 0.4671087296 0.8849488529
0.1043202397 0.6411211441 -2.7697583223 0.9878480090 85.2374361458 82.4642707163 82.4642707163 0.1043202397 0.6411211441 0.5595270803
0.8627083158 0.4195346228 2.5389582106 -0.5632576404 83.4960265916 79.2678592472 79.2678592472 0.8627083158 0.4195346228 0.8425950138
0.8562960921 0.4208421633 2.4940726449 -0.5541048572 76.4880464656 80.3437953163 76.4880464656 0.8562960921 0.4208421633 0.8909932853
0.0998131760 0.6655948417 -2.8013077682 1.1591638918 72.9892859991 79.5557343165 72.9892859991 0.0998131760 0.6655948417 0.5301855113
0.1229435886 0.6133896782 -2.6393948798 0.7937277475 72.3765095155 77.0356615619 72.3765095155 0.1229435886 0.6133896782 0.4776445904
0.1281050347 0.6284618994 -2.6032647570 0.8992332957 71.6406570833 71.5496380497 71.5496380497 0.1281050347 0.6284618994 0.4299042145
0.8486156032 0.4573231814 2.4403092221 -0.2987377303 73.5023600569 71.2958960446 71.2958960446 0.8486156032 0.4573231814 0.9194451247
0.1196442362 0.6022509809 -2.6624903468 0.7157568663 69.5956456969 70.4899906582 69.5956456969 0.1196442362 0.6022509809 0.5129607857
0.0970603531 0.6379000683 -2.8205775283 0.9653004780 78.3003995876 69.4749743664 69.4749743664 0.0970603531 0.6379000683 0.5988303839
0.8589571268 0.4792841307 2.5126998876 -0.1450110852 68.7835912936 74.3419749812 68.7835912936 0.8589571268 0.4792841307 0.8510201328
0.1076256437 0.6694712088 -2.7466204940 1.1862984619 75.4340978120 67.3637535242 67.3637535242 0.1076256437 0.6694712088 0.4943656569
0.8433708465 0.5002676722 2.4035959256 0.0018737055 68.8186286909 65.3838611144 65.3838611144 0.8433708465 0.5002676722 0.9000061306
0.8617552414 0.4402328333 2.5322866899 -0.4183701671 66.4485393738 65.0227110069 65.0227110069 0.8617552414 0.4402328333 0.8255246898
