# from_x0 from_x1 to_x0 to_x1 length
-2.7098844949 0.9715326263 -2.7097100733 0.9720509680 0.0001793983
-2.7100353163 0.9699308239 -2.7098844949 0.9715326263 0.0003340918
-2.7098460757 0.9695681743 -2.7100353163 0.9699308239 0.0000824802
-2.7092820042 0.9724075492 -2.7100353163 0.9699308239 0.0005566903
-2.7084555358 0.9685478673 -2.7098460757 0.9695681743 0.0002910312
-2.7099523645 0.9708118152 -2.7092820042 0.9724075492 0.0011342076
-2.7101393986 0.9606258063 -2.7084555358 0.9685478673 0.0011578107
-2.7093170140 0.9653194682 -2.7099523645 0.9708118152 0.0007978879
-2.7084390891 0.9606258063 -2.7101393986 0.9606258063 0.0005984992
-2.7090439609 0.9589122800 -2.7084390891 0.9606258063 0.0006014590
-2.7092376918 0.9591666709 -2.7090439609 0.9589122800 0.0001633742
-2.7084390891 0.9596833669 -2.7084390891 0.9606258063 0.0002378497
-2.7085941806 0.9723461011 -2.7099523645 0.9708118152 0.0005169798
-2.7093610911 0.9579698406 -2.7092376918 0.9591666709 0.0002196537
-2.7086634514 0.9584497512 -2.7084390891 0.9596833669 0.0001866808
-2.7080269227 0.9594953803 -2.7084390891 0.9596833669 0.0001423393
-2.7084190494 0.9587354509 -2.7086634514 0.9584497512 0.0001149927
-2.7088641311 0.9584932827 -2.7092376918 0.9591666709 0.0001111803
-2.7087133097 0.9591526457 -2.7092376918 0.9591666709 0.0000975713
-2.7086303580 0.9576519902 -2.7090439609 0.9589122800 0.0001934576
-2.7077529250 0.9610583779 -2.7084390891 0.9606258063 0.0001859642
-2.7101393986 0.9573215112 -2.7101393986 0.9606258063 0.0004842043
-2.7089025503 0.9571336484 -2.7088641311 0.9584932827 0.0001946700
-2.7089741078 0.9561116359 -2.7089025503 0.9571336484 0.0001480050
-2.7090908226 0.9579698406 -2.7093610911 0.9579698406 0.0001193629
-2.7082620545 0.9576071909 -2.7086634514 0.9584497512 0.0001433219
-2.7076699733 0.9601111218 -2.7080269227 0.9594953803 0.0001135850
-2.7087133097 0.9567709988 -2.7089025503 0.9571336484 0.0000824802
-2.7085873866 0.9573215112 -2.7087133097 0.9567709988 0.0000894917
-2.7084512951 0.9579698406 -2.7086303580 0.9576519902 0.0000741641
-2.7084390891 0.9579698406 -2.7084512951 0.9579698406 0.0000041396
-2.7085764878 0.9561480086 -2.7086303580 0.9576519902 0.0002391770
-2.7080311575 0.9597532415 -2.7087133097 0.9591526457 0.0001548303
-2.7083692359 0.9561116359 -2.7085764878 0.9561480086 0.0001357003
-2.7078207946 0.9585093193 -2.7084190494 0.9587354509 0.0000921593
-2.7085240691 0.9554722779 -2.7083692359 0.9561116359 0.0001116147
-2.7084561995 0.9552506495 -2.7085240691 0.9554722779 0.0000930570
-2.7077512140 0.9576235388 -2.7078207946 0.9585093193 0.0001287216
-2.7079639163 0.9564292051 -2.7085764878 0.9561480086 0.0000965940
-2.7087273092 0.9545462062 -2.7084561995 0.9552506495 0.0001363128
-2.7087341080 0.9545164828 -2.7087273092 0.9545462062 0.0000048318
-2.7086070209 0.9545912866 -2.7087273092 0.9545462062 0.0000413000
-2.7078379051 0.9557901283 -2.7079639163 0.9564292051 0.0001008039
-2.7077737749 0.9560704938 -2.7078379051 0.9557901283 0.0000455764
-2.7077472537 0.9561864396 -2.7077737749 0.9560704938 0.0000188482
-2.7076135428 0.9567709988 -2.7077472537 0.9561864396 0.0000950264
-2.7074299736 0.9575735292 -2.7077512140 0.9576235388 0.0001091801
-2.7074128631 0.9576483330 -2.7074299736 0.9575735292 0.0000121602
-2.7079151855 0.9554522729 -2.7078379051 0.9557901283 0.0000549220
-2.7073393221 0.9579698406 -2.7074128631 0.9576483330 0.0000522645
-2.7073330306 0.9579973458 -2.7073393221 0.9579698406 0.0000044713
-2.7072056112 0.9585543998 -2.7073330306 0.9579973458 0.0000905551
-2.7070962114 0.9590326755 -2.7072056112 0.9585543998 0.0000777489
-2.7070651015 0.9591686823 -2.7070962114 0.9590326755 0.0000221094
-2.7070323536 0.9593118498 -2.7070651015 0.9591686823 0.0000232734
-2.7069313906 0.9597532415 -2.7070323536 0.9593118498 0.0000717530
-2.7079784149 0.9551758458 -2.7079151855 0.9554522729 0.0000449362
-2.7068718491 0.9600135460 -2.7069313906 0.9597532415 0.0000423153
-2.7068407391 0.9601495528 -2.7068718491 0.9600135460 0.0000221094
-2.7080271457 0.9549950783 -2.7084561995 0.9552506495 0.0000813985
-2.7080027259 0.9550695623 -2.7079784149 0.9551758458 0.0000172775
-2.7079017629 0.9554522729 -2.7078379051 0.9557901283 0.0001569362
-2.7080622675 0.9548092578 -2.7080027259 0.9550695623 0.0000423153
-2.7081006867 0.9546412961 -2.7080622675 0.9548092578 0.0000273040
-2.7056911139 0.9651755009 -2.7084555358 0.9685478673 0.0006903380
-2.7082458366 0.9540067274 -2.7081006867 0.9546412961 0.0001031560
-2.7082629471 0.9539319236 -2.7082458366 0.9540067274 0.0000121602
-2.7070962114 0.9590326755 -2.7078207946 0.9585093193 0.0001277977
-2.7083655481 0.9534833713 -2.7082629471 0.9539319236 0.0000729170
