# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1128985610 0.6388644240 -2.7097100733 0.9720509680 89.9712080808 89.8797605085 89.8797605085 0.1128985610 0.6388644240 0.5117052219
0.1128985610 0.6388644240 -2.7097100733 0.9720509680 89.9712080808 89.8797605085 89.8797605085 0.1128985610 0.6388644240 0.5117052219
0.1128736436 0.6387903752 -2.7098844949 0.9715326263 89.9710819311 89.8939710866 89.8939710866 0.1128736436 0.6387903752 0.5118667138
0.1128520977 0.6385615463 -2.7100353163 0.9699308239 89.9659929857 89.9236293270 89.9236293270 0.1128520977 0.6385615463 0.5121091812
0.1128791320 0.6385097392 -2.7098460757 0.9695681743 89.9622257834 89.9255573514 89.9255573514 0.1128791320 0.6385097392 0.5120509734
0.1130777806 0.6383639810 -2.7084555358 0.9685478673 89.9396839570 89.9308900290 89.9308900290 0.1130777806 0.6383639810 0.5122058685
0.1128639479 0.6386874022 -2.7099523645 0.9708118152 89.9322439296 89.9375586358 89.9322439296 0.1128639479 0.6386874022 0.5136322048
0.1128372288 0.6372322580 -2.7101393986 0.9606258063 89.9015577768 89.9566594073 89.9015577768 0.1128372288 0.6372322580 0.5122490377
0.1129547123 0.6379027812 -2.7093170140 0.9653194682 89.8953155216 89.9206558705 89.8953155216 0.1129547123 0.6379027812 0.5137451508
0.1130801301 0.6372322580 -2.7084390891 0.9606258063 89.8920807038 89.9166125875 89.8920807038 0.1130801301 0.6372322580 0.5127960296
0.1129937199 0.6369874686 -2.7090439609 0.9589122800 89.8843753969 89.9188104638 89.8843753969 0.1129937199 0.6369874686 0.5133385831
0.1130801301 0.6370976238 -2.7084390891 0.9596833669 89.8833306349 89.9124805861 89.8833306349 0.1130801301 0.6370976238 0.5129921065
0.1130579742 0.6389065859 -2.7085941806 0.9723461011 89.8804135341 89.8927768844 89.8804135341 0.1130579742 0.6389065859 0.5140583273
0.1129484156 0.6368528344 -2.7093610911 0.9579698406 89.8779720890 89.9197270149 89.8779720890 0.1129484156 0.6368528344 0.5136322048
0.1130480784 0.6369213930 -2.7086634514 0.9584497512 89.8775500799 89.9157074094 89.8775500799 0.1130480784 0.6369213930 0.5130446907
0.1131390110 0.6370707686 -2.7080269227 0.9594953803 89.8751281174 89.9055037865 89.8751281174 0.1131390110 0.6370707686 0.5128653298
0.1130829929 0.6369622073 -2.7084190494 0.9587354509 89.8722638083 89.9085716979 89.8722638083 0.1130829929 0.6369622073 0.5131463691
0.1130194098 0.6369276118 -2.7088641311 0.9584932827 89.8704845681 89.9120768795 89.8704845681 0.1130194098 0.6369276118 0.5134793468
0.1130409558 0.6370218065 -2.7087133097 0.9591526457 89.8699333991 89.9099820310 89.8699333991 0.1130409558 0.6370218065 0.5134329562
0.1130528060 0.6368074272 -2.7086303580 0.9576519902 89.8682343479 89.9097551311 89.8682343479 0.1130528060 0.6368074272 0.5132995992
0.1131781536 0.6372940540 -2.7077529250 0.9610583779 89.8677320346 89.8985254266 89.8677320346 0.1131781536 0.6372940540 0.5129414785
0.1128372288 0.6367602159 -2.7101393986 0.9573215112 89.8672149473 89.9515255697 89.8672149473 0.1128372288 0.6367602159 0.5121411954
0.1130139214 0.6367333783 -2.7089025503 0.9571336484 89.8663916986 89.9118876156 89.8663916986 0.1130139214 0.6367333783 0.5134911640
0.1130036989 0.6365873766 -2.7089741078 0.9561116359 89.8640859986 89.9124257937 89.8640859986 0.1130036989 0.6365873766 0.5135131741
0.1129870253 0.6368528344 -2.7090908226 0.9579698406 89.8634699137 89.9117921588 89.8634699137 0.1129870253 0.6368528344 0.5137451508
0.1131054208 0.6368010273 -2.7082620545 0.9576071909 89.8629289997 89.9072870282 89.8629289997 0.1131054208 0.6368010273 0.5129921065
0.1131900038 0.6371587317 -2.7076699733 0.9601111218 89.8627561874 89.8964941513 89.8627561874 0.1131900038 0.6371587317 0.5129159637
0.1130409558 0.6366815713 -2.7087133097 0.9567709988 89.8613942505 89.9085357344 89.8613942505 0.1130409558 0.6366815713 0.5134329562
0.1130589448 0.6367602159 -2.7085873866 0.9573215112 89.8609341027 89.9067693052 89.8609341027 0.1130589448 0.6367602159 0.5133942241
0.1130783864 0.6368528344 -2.7084512951 0.9579698406 89.8606258696 89.9048681799 89.8606258696 0.1130783864 0.6368528344 0.5133523642
0.1130801301 0.6368528344 -2.7084390891 0.9579698406 89.8603854772 89.9046603804 89.8603854772 0.1130801301 0.6368528344 0.5133486098
0.1130605017 0.6365925727 -2.7085764878 0.9561480086 89.8548799502 89.9096046250 89.8548799502 0.1130605017 0.6365925727 0.5131947949
0.1131384061 0.6371076059 -2.7080311575 0.9597532415 89.8525030699 89.8961563621 89.8525030699 0.1131384061 0.6371076059 0.5133486098
0.1130901092 0.6365873766 -2.7083692359 0.9561116359 89.8520709800 89.9022822246 89.8520709800 0.1130901092 0.6365873766 0.5133271239
0.1131684579 0.6369299028 -2.7078207946 0.9585093193 89.8499911044 89.8941884686 89.8499911044 0.1131684579 0.6369299028 0.5131584310
0.1130679901 0.6364960397 -2.7085240691 0.9554722779 89.8480512961 89.9066087889 89.8480512961 0.1130679901 0.6364960397 0.5132669062
0.1130776858 0.6364643785 -2.7084561995 0.9552506495 89.8463519761 89.9032097805 89.8463519761 0.1130776858 0.6364643785 0.5133538727
0.1131783980 0.6368033627 -2.7077512140 0.9576235388 89.8451800800 89.8923630067 89.8451800800 0.1131783980 0.6368033627 0.5131370290
0.1131480120 0.6366327436 -2.7079639163 0.9564292051 89.8449753361 89.8953911469 89.8449753361 0.1131480120 0.6366327436 0.5132024533
0.1130389558 0.6363637437 -2.7087273092 0.9545462062 89.8435673308 89.9073380422 89.8435673308 0.1130389558 0.6363637437 0.5134372623
0.1130379846 0.6363594975 -2.7087341080 0.9545164828 89.8433588024 89.9074323208 89.8433588024 0.1130379846 0.6363594975 0.5134393535
0.1130561399 0.6363701838 -2.7086070209 0.9545912866 89.8417383579 89.9053410374 89.8417383579 0.1130561399 0.6363701838 0.5134002633
0.1131660136 0.6365414469 -2.7078379051 0.9557901283 89.8398398867 89.8927018307 89.8398398867 0.1131660136 0.6365414469 0.5131636940
0.1131751750 0.6365814991 -2.7077737749 0.9560704938 89.8395945880 89.8917339348 89.8395945880 0.1131751750 0.6365814991 0.5131439684
0.1131789638 0.6365980628 -2.7077472537 0.9561864396 89.8394927250 89.8913319495 89.8394927250 0.1131789638 0.6365980628 0.5131358109
0.1131980653 0.6366815713 -2.7076135428 0.9567709988 89.8389754254 89.8892899823 89.8389754254 0.1131980653 0.6366815713 0.5130946833
0.1132242895 0.6367962185 -2.7074299736 0.9575735292 89.8382550315 89.8864447704 89.8382550315 0.1132242895 0.6367962185 0.5130382199
0.1132267338 0.6368069047 -2.7074128631 0.9576483330 89.8381872803 89.8861770877 89.8381872803 0.1132267338 0.6368069047 0.5130329570
0.1131549735 0.6364931818 -2.7079151855 0.9554522729 89.8380979069 89.8938604495 89.8380979069 0.1131549735 0.6364931818 0.5131874643
0.1132372397 0.6368528344 -2.7073393221 0.9579698406 89.8378949106 89.8850217441 89.8378949106 0.1132372397 0.6368528344 0.5130103368
0.8567900865 0.4506388760 2.4975306056 -0.3455278677 89.4270315909 89.6834843633 89.4270315909 0.8567900865 0.4506388760 0.8724193275
0.1180530926 0.6416882008 -2.6736283521 0.9918174053 88.5603957468 84.4083491673 84.4083491673 0.1180530926 0.6416882008 0.4832114892
0.1105169024 0.6317918171 -2.7263816833 0.9225427199 87.9428495525 83.9600314028 83.9600314028 0.1105169024 0.6317918171 0.5397561845
0.0949386460 0.6281929851 -2.8354294782 0.8973508959 85.4662084023 72.6524989210 72.6524989210 0.0949386460 0.6281929851 0.5599962122
0.1283100139 0.6505008994 -2.6018299025 1.0535062955 85.2054382005 66.8822259398 66.8822259398 0.1283100139 0.6505008994 0.4537820935
0.1078275217 0.6494461828 -2.7452073484 1.0461232795 85.1370127993 86.1841766432 85.1370127993 0.1078275217 0.6494461828 0.5326148545
0.1016216096 0.6614330828 -2.7886487331 1.1300315798 75.4979448896 78.5465078077 75.4979448896 0.1016216096 0.6614330828 0.5136254266
0.8167237359 0.0800145077 2.2170661510 -2.9398984461 71.4719158804 15.1899061603 15.1899061603 0.8167237359 0.0800145077 0.3237363466
0.8657719611 0.5280632799 2.5604037278 0.1964429593 70.1828494910 30.3345689322 30.3345689322 0.8657719611 0.5280632799 0.9499311500
0.1458183173 0.6688938294 -2.4792717788 1.1822568059 70.1148930833 33.8682815434 33.8682815434 0.1458183173 0.6688938294 0.3767371460
