# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3454122446 0.2313001588 -1.0821142878 -1.8808988885 11.8054422016 12.8055059848 11.8054422016 0.3454122446 0.2313001588 0.1508833577
0.1450521058 0.6905024556 -2.4846352591 1.3335171895 14.1251630239 13.3101440924 13.3101440924 0.1450521058 0.6905024556 0.5722616409
0.0922609970 0.8046447014 -2.8541730211 2.1325129095 14.1251630239 11.6535782513 11.6535782513 0.0922609970 0.8046447014 0.2096658768
0.4190088748 0.8371122721 -0.5669378766 2.3597859046 11.8054422016 12.3112904641 11.8054422016 0.4190088748 0.8371122721 0.0036430567
0.3528680937 0.0299485970 -1.0299233441 -3.2903598209 9.9981438917 14.1251630239 9.9981438917 0.3528680937 0.0299485970 0.5950916852
0.4960403696 0.7988785510 -0.0277174127 2.0921498570 22.5920777055 19.6523167027 19.6523167027 0.4960403696 0.7988785510 0.7192261493
0.3125308882 0.8235089894 -1.3122837825 2.2645629261 11.8054422016 12.3112904641 11.8054422016 0.3125308882 0.8235089894 0.0316807531
0.3380684223 0.0489186735 -1.1335210436 -3.1575692853 9.9981438917 14.1251630239 9.9981438917 0.3380684223 0.0489186735 0.5738582850
0.8381997332 0.3702039881 2.3673981325 -0.9085720832 11.4041648443 12.8055059848 11.4041648443 0.8381997332 0.3702039881 0.0254573289
0.9737286212 0.2703380296 3.3161003485 -1.6076337927 14.1251630239 14.1251630239 14.1251630239 0.9737286212 0.2703380296 0.6416915409
0.2294454235 0.4311978564 -1.8938820357 -0.4816150055 14.1251630239 14.1251630239 14.1251630239 0.2294454235 0.4311978564 0.9125538274
0.1081896718 0.2517098140 -2.7426722971 -1.7380313022 14.1251630239 16.5513148221 14.1251630239 0.1081896718 0.2517098140 0.4589347842
0.7054995598 0.4471042763 1.4384969184 -0.3702700657 14.1251630239 14.1251630239 14.1251630239 0.7054995598 0.4471042763 0.5814806939
0.4448986780 0.3536221487 -0.3857092539 -1.0246449590 11.8054422016 26.6848693390 11.8054422016 0.4448986780 0.3536221487 0.1319233396
0.0913216878 0.5293451789 -2.8607481851 0.2054162521 14.1251630239 11.5013288396 11.5013288396 0.0913216878 0.5293451789 0.3660858693
0.6250101050 0.6477801167 0.8750707347 1.0344608172 14.1251630239 14.1251630239 14.1251630239 0.6250101050 0.6477801167 0.6243918404
0.5454661715 0.7777490877 0.3182632005 1.9442436142 51.7362675852 76.4078838004 51.7362675852 0.5454661715 0.7777490877 0.4321906027
0.6177012390 0.5900420043 0.8239086729 0.6302940299 14.1251630239 12.8055059848 12.8055059848 0.6177012390 0.5900420043 0.2026196074
0.4192573456 0.7017250570 -0.5651985810 1.4120753988 14.1251630239 19.6523167027 14.1251630239 0.4192573456 0.7017250570 0.4867382787
0.3678053707 0.4072137017 -0.9253624054 -0.6495040880 14.1251630239 13.9897930981 13.9897930981 0.3678053707 0.4072137017 0.1905066766
0.3972631769 0.9682118573 -0.7191577618 3.2774830011 11.8054422016 19.6523167027 11.8054422016 0.3972631769 0.9682118573 0.0706626771
0.1021579923 0.4551497530 -2.7848940539 -0.3139517288 14.1251630239 11.5013288396 11.5013288396 0.1021579923 0.4551497530 0.8661301096
0.4767420259 0.3685389628 -0.1628058184 -0.9202272603 14.1251630239 14.1251630239 14.1251630239 0.4767420259 0.3685389628 0.5770365389
0.4274376244 0.7123452868 -0.5079366291 1.4864170077 14.1251630239 19.6523167027 14.1251630239 0.4274376244 0.7123452868 0.1915560393
0.0986177418 0.3996808897 -2.8096758071 -0.7022337720 14.1251630239 10.6279581126 10.6279581126 0.0986177418 0.3996808897 0.7379855799
0.0731500988 0.1061850439 -2.9879493082 -2.7567046924 11.8054422016 10.5421072345 10.5421072345 0.0731500988 0.1061850439 0.0834010198
0.0026450636 0.1684349953 -3.4814845547 -2.3209550332 14.1251630239 10.6279581126 10.6279581126 0.0026450636 0.1684349953 0.7785177749
0.3214941457 0.9505004241 -1.2495409798 3.1535029690 14.1251630239 19.6523167027 14.1251630239 0.3214941457 0.9505004241 0.5117826060
0.2792950713 0.5381530728 -1.5449345009 0.2670715094 17.1070662957 14.1251630239 14.1251630239 0.2792950713 0.5381530728 0.8899320258
0.7236122392 0.7144328026 1.5652856745 1.5010296179 11.4041648443 19.6523167027 11.4041648443 0.7236122392 0.7144328026 0.0731184484
0.2165430664 0.9087818925 -1.9841985350 2.8614732476 14.1251630239 13.3101440924 13.3101440924 0.2165430664 0.9087818925 0.9779942528
0.1114442142 0.1163501118 -2.7198905003 -2.6855492171 14.1251630239 10.6279581126 10.6279581126 0.1114442142 0.1163501118 0.9466434617
0.4757736246 0.6235009615 -0.1695846276 0.8645067302 14.1251630239 14.1251630239 14.1251630239 0.4757736246 0.6235009615 0.5606331051
0.3451106177 0.7245798575 -1.0842256763 1.5720590026 14.1251630239 19.6523167027 14.1251630239 0.3451106177 0.7245798575 0.2293419375
0.3599289995 0.9359421215 -0.9804970035 3.0515948507 11.8054422016 19.6523167027 11.8054422016 0.3599289995 0.9359421215 0.0582657579
0.5085441892 0.3953289295 0.0598093241 -0.7326974938 14.1251630239 14.1251630239 14.1251630239 0.5085441892 0.3953289295 0.9921950913
0.2024000451 0.6268757980 -2.0831996844 0.8881305863 14.1251630239 12.8055059848 12.8055059848 0.2024000451 0.6268757980 0.3019976445
0.7212111706 0.8763540380 1.5484781941 2.6344782661 14.1251630239 19.6523167027 14.1251630239 0.7212111706 0.8763540380 0.1351681926
0.0477715621 0.4858397056 -3.1655990654 -0.0991220609 14.1251630239 9.9928214678 9.9928214678 0.0477715621 0.4858397056 0.9696576034
0.9222470217 0.3121506787 2.9557291517 -1.3149452490 14.1251630239 12.8055059848 12.8055059848 0.9222470217 0.3121506787 0.1743368430
0.8467020413 0.7909000899 2.4269142888 2.0363006295 14.1251630239 19.6523167027 14.1251630239 0.8467020413 0.7909000899 0.6237261945
0.3043264446 0.5601320485 -1.3697148881 0.4209243392 14.1251630239 12.8055059848 12.8055059848 0.3043264446 0.5601320485 0.3779842118
0.0216463554 0.4424366559 -3.3484755122 -0.4029434090 14.1251630239 9.9928214678 9.9928214678 0.0216463554 0.4424366559 0.8108941518
0.6331604131 0.7636407613 0.9321228916 1.8454853288 24.5409378422 19.6523167027 19.6523167027 0.6331604131 0.7636407613 0.1310610845
0.6981898570 0.9008923958 1.3873289988 2.8062467708 14.1251630239 19.6523167027 14.1251630239 0.6981898570 0.9008923958 0.2553576338
0.9505048168 0.8267728773 3.1535337178 2.2874101408 14.1251630239 19.6523167027 14.1251630239 0.9505048168 0.8267728773 0.3945473162
0.4733374422 0.3980713750 -0.1866379046 -0.7135003748 14.1251630239 14.1251630239 14.1251630239 0.4733374422 0.3980713750 0.5884672006
0.3367374850 0.1478969935 -1.1428376052 -2.4647210453 14.1251630239 12.8055059848 12.8055059848 0.3367374850 0.1478969935 0.5067077766
0.9356787446 0.7469403321 3.0497512119 1.7285823247 14.1251630239 19.6523167027 14.1251630239 0.9356787446 0.7469403321 0.3725817804
