# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5730360613 0.7701074737 0.5112524288 1.8907523157 89.9964953354 89.9773559051 89.9773559051 0.5730360613 0.7701074737 0.4200749577
0.5730360613 0.7701074737 0.5112524288 1.8907523157 89.9964953354 89.9773559051 89.9773559051 0.5730360613 0.7701074737 0.4200749577
0.5733285439 0.7698679770 0.5132998076 1.8890758387 89.9964704518 89.9973208803 89.9964704518 0.5733285439 0.7698679770 0.4193183386
0.5730186539 0.7700969502 0.5111305770 1.8906786511 89.9964695196 89.9779250159 89.9779250159 0.5730186539 0.7700969502 0.4201199886
0.5729497894 0.7700553187 0.5106485257 1.8903872306 89.9963677634 89.9801144351 89.9801144351 0.5729497894 0.7700553187 0.4202981331
0.5728025055 0.7698816228 0.5096175386 1.8891713598 89.9961749814 89.9831629397 89.9831629397 0.5728025055 0.7698816228 0.4210413913
0.5727087638 0.7699096084 0.5089613463 1.8893672591 89.9960269034 89.9851071479 89.9851071479 0.5727087638 0.7699096084 0.4209216386
0.5726398993 0.7698679770 0.5084792950 1.8890758387 89.9959371227 89.9862607731 89.9862607731 0.5726398993 0.7698679770 0.4210997830
0.5730875183 0.7701385816 0.5116126282 1.8909700715 89.9958073124 89.9756342375 89.9756342375 0.5730875183 0.7701385816 0.4199418442
0.5734989835 0.7697420417 0.5144928845 1.8881942919 89.9957783466 89.9958182002 89.9957783466 0.5734989835 0.7697420417 0.4188774311
0.5725383242 0.7698065705 0.5077682694 1.8886459935 89.9957171990 89.9879562575 89.9879562575 0.5725383242 0.7698065705 0.4213625461
0.5729497894 0.7699293834 0.5106485257 1.8895056838 89.9942110227 89.9777129938 89.9777129938 0.5729497894 0.7699293834 0.4208370200
0.5733664194 0.7699601387 0.5135649358 1.8897209707 89.9916933434 89.9935478407 89.9916933434 0.5733664194 0.7699601387 0.4189239714
0.5731028215 0.7699939122 0.5117197507 1.8899573855 89.9879544875 89.9717142240 89.9717142240 0.5731028215 0.7699939122 0.4205608961
0.5733285439 0.7702842919 0.5132998076 1.8919900430 89.9870636616 89.9666391621 89.9666391621 0.5733285439 0.7702842919 0.4193183386
0.5723300092 0.7696806352 0.5063100644 1.8877644467 89.9863109761 89.9913729272 89.9863109761 0.5723300092 0.7696806352 0.4219014330
0.5723204351 0.7696748473 0.5062430459 1.8877239312 89.9857411686 89.9915261119 89.9857411686 0.5723204351 0.7696748473 0.4219262000
0.5733974084 0.7703259233 0.5137818589 1.8922814634 89.9835748779 89.9637209296 89.9637209296 0.5733974084 0.7703259233 0.4191401942
0.5725383242 0.7699604914 0.5077682694 1.8897234396 89.9833951454 89.9839556494 89.9833951454 0.5725383242 0.7699604914 0.4207039065
0.5735678480 0.7701999881 0.5149749357 1.8913999166 89.9816820165 89.9838657117 89.9816820165 0.5735678480 0.7701999881 0.4186992867
0.5736615897 0.7701307237 0.5156311280 1.8909150659 89.9806905981 89.9842222703 89.9806905981 0.5736615897 0.7701307237 0.4184567876
0.5737072985 0.7700969502 0.5159510895 1.8906786511 89.9802225173 89.9844872469 89.9802225173 0.5737072985 0.7700969502 0.4183385442
0.5738777381 0.7699710149 0.5171441664 1.8897971042 89.9785777653 89.9861487318 89.9785777653 0.5738777381 0.7699710149 0.4178976367
0.5721595696 0.7697315182 0.5051169875 1.8881206272 89.9782982337 89.9902616166 89.9782982337 0.5721595696 0.7697315182 0.4216837009
0.5721595696 0.7696806352 0.5051169875 1.8877644467 89.9757660112 89.9939783794 89.9757660112 0.5721595696 0.7696806352 0.4216837009
0.5723147307 0.7695259062 0.5062031147 1.8866813436 89.9749858629 89.9840118386 89.9749858629 0.5723147307 0.7695259062 0.4222275902
0.5721391016 0.7697758152 0.5049737112 1.8884307067 89.9726229858 89.9890788457 89.9726229858 0.5721391016 0.7697758152 0.4214941503
0.5737072985 0.7705132651 0.5159510895 1.8935928554 89.9633572116 89.9478300128 89.9478300128 0.5737072985 0.7705132651 0.4183385442
