# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.2673896495 0.3712571969 -1.6282724536 -0.9011996217 19.6891328186 1.8046567334 1.8046567334 0.2673896495 0.3712571969 0.1670221008
0.5761253388 0.3723972816 0.5328773715 -0.8932190291 1.3513979030 1.5083002758 1.3513979030 0.5761253388 0.3723972816 0.5078486071
0.9660259261 0.9816093042 3.2621814830 3.3712651297 1.9344241211 1.9344241211 1.9344241211 0.9660259261 0.9816093042 0.9475776594
0.8649527633 0.8426888196 2.5546693430 2.3988217373 1.9344241211 1.9344241211 1.9344241211 0.8649527633 0.8426888196 0.6713053580
0.0758386370 0.6101200062 -2.9691295412 0.7708400433 1.9344241211 1.9344241211 1.9344241211 0.0758386370 0.6101200062 0.9064526593
0.7470833787 0.1030121281 1.7295836510 -2.7789151032 1.9523380107 1.4218116343 1.4218116343 0.7470833787 0.1030121281 0.3524258859
0.5529792963 0.2317365738 0.3708550744 -1.8778439831 6.1393255037 2.2534079710 2.2534079710 0.5529792963 0.2317365738 0.8680283923
0.7115182062 0.8784485479 1.4806274432 2.6491398352 1.9344241211 1.9344241211 1.9344241211 0.7115182062 0.8784485479 0.4468069387
0.2285162676 0.2013784981 -1.9003861269 -2.0903505134 1.9344241211 1.9344241211 1.9344241211 0.2285162676 0.2013784981 0.6549257265
0.3419470954 0.3109322284 -1.1063703325 -1.3234744013 7.5596307412 1.4366962153 1.4366962153 0.3419470954 0.3109322284 0.3909533485
0.5259071984 0.5989142670 0.1813503886 0.6923998688 1.9344241211 1.9344241211 1.9344241211 0.5259071984 0.5989142670 0.1144539155
0.8207038369 0.9629575777 2.2449268585 3.2407030441 1.9344241211 1.9344241211 1.9344241211 0.8207038369 0.9629575777 0.8504284654
0.3267587133 0.1980570203 -1.2126890070 -2.1136008579 1.9344241211 1.9344241211 1.9344241211 0.3267587133 0.1980570203 0.6725187880
0.4272920603 0.6575053382 -0.5089555780 1.1025373674 1.9344241211 1.9344241211 1.9344241211 0.4272920603 0.6575053382 0.5245429134
0.5983055526 0.5455935936 0.6881388683 0.3191551552 1.9344241211 1.9344241211 1.9344241211 0.5983055526 0.5455935936 0.5851585793
0.1648081937 0.6559607072 -2.3463426440 1.0917249503 1.9344241211 1.9344241211 1.9344241211 0.1648081937 0.6559607072 0.9848518596
0.2897104951 0.4457318907 -1.4720265343 -0.3798767648 1.9344241211 1.9344241211 1.9344241211 0.2897104951 0.4457318907 0.4631314115
0.1805646410 0.9117197386 -2.2360475129 2.8820381699 1.9344241211 2.5479726201 1.9344241211 0.1805646410 0.9117197386 0.6960033299
0.8798931529 0.9012449354 2.6592520701 2.8087145479 1.9344241211 1.9344241211 1.9344241211 0.8798931529 0.9012449354 0.3014454462
0.6243946084 0.2604906356 0.8707622585 -1.6765655510 11.7547969472 1.9344241211 1.9344241211 0.6243946084 0.2604906356 0.7030207633
0.6455775385 0.1478889366 1.0190427695 -2.4647774440 1.6041162145 1.9344241211 1.6041162145 0.6455775385 0.1478889366 0.5865949150
0.3116888768 0.4930906805 -1.3181778625 -0.0483652364 1.9344241211 1.9344241211 1.9344241211 0.3116888768 0.4930906805 0.4122046447
0.9673960509 0.8446635508 3.2717723562 2.4126448554 1.9344241211 1.9344241211 1.9344241211 0.9673960509 0.8446635508 0.9027320953
0.0637647558 0.8421202646 -3.0536467092 2.3948418523 1.9344241211 7.4635788845 1.9344241211 0.0637647558 0.8421202646 0.1133274400
0.1593645480 0.5583261716 -2.3844481639 0.4082832011 1.9344241211 1.9344241211 1.9344241211 0.1593645480 0.5583261716 0.9012752911
0.8925806731 0.0010992430 2.7480647115 -3.4923052992 1.3737626190 1.9344241211 1.3737626190 0.8925806731 0.0010992430 0.4730414981
0.4858689945 0.8406777701 -0.0989170382 2.3847443905 1.9344241211 1.9344241211 1.9344241211 0.4858689945 0.8406777701 0.4343315173
0.3559619542 0.6826523724 -1.0082663205 1.2785666070 1.9344241211 1.9344241211 1.9344241211 0.3559619542 0.6826523724 0.4337926989
0.7092084060 0.7874198046 1.4644588422 2.0119386321 1.9344241211 1.9344241211 1.9344241211 0.7092084060 0.7874198046 0.8493220010
0.0370896557 0.9584241353 -3.2403724104 3.2089689473 1.9344241211 1.9344241211 1.9344241211 0.0370896557 0.9584241353 0.1471547162
0.0211252223 0.2943662290 -3.3521234436 -1.4394363971 11.5035227943 1.9344241211 1.9344241211 0.0211252223 0.2943662290 0.6595963824
0.6126033875 0.3611222155 0.7882237127 -0.9721444916 39.0388358744 1.9344241211 1.9344241211 0.6126033875 0.3611222155 0.7710583262
0.6461905867 0.0182236166 1.0233341069 -3.3724346835 1.3513979030 1.9344241211 1.3513979030 0.6461905867 0.0182236166 0.8046498832
0.0638998550 0.4260728668 -3.0527010147 -0.5174899325 1.9344241211 1.9344241211 1.9344241211 0.0638998550 0.4260728668 0.1151327817
0.6828291584 0.9302180589 1.2798041090 3.0115264124 1.9344241211 1.9344241211 1.9344241211 0.6828291584 0.9302180589 0.4487496106
0.1061091714 0.8777077117 -2.7572358004 2.6439539822 1.9344241211 2.4292343208 1.9344241211 0.1061091714 0.8777077117 0.3093419029
0.3078238749 0.7065001036 -1.3452328759 1.4455007251 1.9344241211 1.9344241211 1.9344241211 0.3078238749 0.7065001036 0.9676698278
0.8440931542 0.7588503562 2.4086520792 1.8119524935 1.9344241211 1.9344241211 1.9344241211 0.8440931542 0.7588503562 0.6142059495
0.6286835206 0.9208031427 0.9007846440 2.9456219992 1.9344241211 1.9344241211 1.9344241211 0.6286835206 0.9208031427 0.3335410181
0.3800746265 0.2902237388 -0.8394776145 -1.4684338285 1.9344241211 1.9344241211 1.9344241211 0.3800746265 0.2902237388 0.5900312921
0.1084910210 0.5137363949 -2.7405628528 0.0961547645 1.9344241211 1.9344241211 1.9344241211 0.1084910210 0.5137363949 0.9201819788
0.3314464637 0.0853939006 -1.1798747540 -2.9022426955 1.9344241211 1.9344241211 1.9344241211 0.3314464637 0.0853939006 0.4362994271
0.4664161863 0.5409296115 -0.2350866958 0.2865072804 1.9344241211 2.7250795949 1.9344241211 0.4664161863 0.5409296115 0.0063647573
0.2825331619 0.8140544108 -1.5222678669 2.1983808755 1.8425789511 1.6154259617 1.6154259617 0.2825331619 0.8140544108 0.8255183512
0.2964101280 0.0087075922 -1.4251291042 -3.4390468544 1.9344241211 1.9344241211 1.9344241211 0.2964101280 0.0087075922 0.2643746450
0.0308699270 0.9842141599 -3.2839105109 3.3894991195 1.9344241211 2.5479726201 1.9344241211 0.0308699270 0.9842141599 0.7428917579
0.3562449604 0.5847808698 -1.0062852772 0.5934660886 1.9344241211 1.9344241211 1.9344241211 0.3562449604 0.5847808698 0.3308318821
0.9017890678 0.6548348682 2.8125234743 1.0838440776 49.3982569705 1.9344241211 1.9344241211 0.9017890678 0.6548348682 0.6936087085
0.1485953718 0.9604356615 -2.4598323972 3.2230496304 1.9344241211 2.5479726201 1.9344241211 0.1485953718 0.9604356615 0.6517523196
0.0943866412 0.0597921905 -2.8392935113 -3.0814546667 2.5084740940 1.9344241211 1.9344241211 0.0943866412 0.0597921905 0.4818905149
0.8619853486 0.9319803360 2.5338974399 3.0238623518 6.9719051843 17.0488860771 6.9719051843 0.8619853486 0.9319803360 0.2505808559
0.9249813708 0.5633680321 2.9748695957 0.4435762244 1.7339898891 10.8861529395 1.7339898891 0.9249813708 0.5633680321 0.4291517148
0.1531641726 0.6519047049 -2.4278507916 1.0633329345 1.9344241211 1.9344241211 1.9344241211 0.1531641726 0.6519047049 0.9826714469
0.6523689977 0.2489287648 1.0665829837 -1.7574986466 1.9344241211 1.9344241211 1.9344241211 0.6523689977 0.2489287648 0.8768018327
0.0793151852 0.3777169570 -2.9447937038 -0.8559813008 2.5084740940 1.9344241211 1.9344241211 0.0793151852 0.3777169570 0.6213906100
0.5417125765 0.7751921799 0.2919880358 1.9263452594 1.9344241211 1.9344241211 1.9344241211 0.5417125765 0.7751921799 0.2818193068
0.3187334771 0.7981872240 -1.2688656604 2.0873105683 8.3676143510 7.2132527865 7.2132527865 0.3187334771 0.7981872240 0.1549999064
0.5014787186 0.6017799337 0.0103510303 0.7124595361 1.9524980736 1.9344241211 1.9344241211 0.5014787186 0.6017799337 0.4453193517
0.7036523189 0.1109893177 1.4255662322 -2.7230747759 1.9344241211 1.9344241211 1.9344241211 0.7036523189 0.1109893177 0.5224031749
