# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1666049109 0.1452944885 -2.3337656235 -2.4829385808 9.3206836050 9.3206836050 9.3206836050 0.1666049109 0.1452944885 0.0033617974 0.5951195701 0.9948054963
0.3081049698 0.9508728434 -1.3432652111 3.1561099035 9.3206836050 8.4810332669 8.4810332669 0.3081049698 0.9508728434 0.7761157134 0.4428710275 0.9258676170
0.4151104313 0.1573752711 -0.5942269808 -2.3983731024 9.3206836050 9.3206836050 9.3206836050 0.4151104313 0.1573752711 0.9924019005 0.6244711049 0.7862776244
0.5755848435 0.7768692871 0.5290939048 1.9380850098 6.4005899027 9.3206836050 6.4005899027 0.5755848435 0.7768692871 0.0211964441 0.5299261337 0.7864710022
0.8195321876 0.6407635139 2.2367253129 0.9853445971 9.3206836050 6.8415685880 6.8415685880 0.8195321876 0.6407635139 0.8614905407 0.7907268111 0.4200759735
0.3391118302 0.0985236382 -1.1262171887 -2.8103345327 7.3821841339 9.3206836050 7.3821841339 0.3391118302 0.0985236382 0.6139157582 0.3400141747 0.3197276728
0.9931668975 0.4719750762 3.4521682827 -0.1961744667 8.3748936167 9.3206836050 8.3748936167 0.9931668975 0.4719750762 0.9022436245 0.2528995298 0.7913404824
0.4187880536 0.2713040011 -0.5684836247 -1.6008719923 9.3206836050 9.3206836050 9.3206836050 0.4187880536 0.2713040011 0.5760774313 0.6130139315 0.7925342233
0.3750389098 0.5986943776 -0.8747276317 0.6908606432 8.0186464535 9.3206836050 8.0186464535 0.3750389098 0.5986943776 0.3437889173 0.8423418159 0.7420911511
0.4927182314 0.4737854360 -0.0509723800 -0.1835019479 9.3206836050 6.8415685880 6.8415685880 0.4927182314 0.4737854360 0.4208820808 0.8912743505 0.7754456549
0.6018819069 0.1269729089 0.7131733484 -2.6111896374 9.3206836050 9.3206836050 9.3206836050 0.6018819069 0.1269729089 0.8773318655 0.6098970678 0.2286858923
0.0664329873 0.9633284005 -3.0349690892 3.2432988032 8.0186464535 7.6904248029 7.6904248029 0.0664329873 0.9633284005 0.1223301458 0.2655356215 0.5867993602
0.6103134135 0.4707504873 0.7721938945 -0.2047465891 9.3206836050 9.3206836050 9.3206836050 0.6103134135 0.4707504873 0.2844846051 0.9881808721 0.1748387574
0.1134627099 0.4389540479 -2.7057610307 -0.4273216648 7.3821841339 6.2909703792 6.2909703792 0.1134627099 0.4389540479 0.5870289019 0.0298809886 0.0424675975
0.4644922733 0.4344155622 -0.2485540869 -0.4590910644 8.3748936167 9.3206836050 8.3748936167 0.4644922733 0.4344155622 0.8024542544 0.0691514127 0.8906522630
0.8540416916 0.9347405209 2.4782918414 3.0431836461 6.4005899027 9.3206836050 6.4005899027 0.8540416916 0.9347405209 0.1669946473 0.9982807864 0.8690229429
0.4342456432 0.0102627422 -0.4602804979 -3.4281608044 9.3206836050 9.3206836050 9.3206836050 0.4342456432 0.0102627422 0.9986992962 0.8520926269 0.0357537000
0.2267071927 0.3247475241 -1.9130496514 -1.2267673316 7.3821841339 9.3206836050 7.3821841339 0.2267071927 0.3247475241 0.7119639441 0.2951034134 0.2080732726
0.0385499279 0.9728622178 -3.2301505049 3.3100355243 7.5855417703 8.4810332669 7.5855417703 0.0385499279 0.9728622178 0.7460321006 0.3246260063 0.3364183222
0.2409051999 0.9083438215 -1.8136636007 2.8584067508 7.5855417703 8.4810332669 7.5855417703 0.2409051999 0.9083438215 0.7599204238 0.3415629713 0.4372889472
0.4365745740 0.9704060168 -0.4439779817 3.2928421177 7.5855417703 8.4810332669 7.5855417703 0.4365745740 0.9704060168 0.5250386050 0.3301777465 0.0487788018
0.3722416659 0.6255863959 -0.8943083390 0.8791047711 9.3206836050 9.3206836050 9.3206836050 0.3722416659 0.6255863959 0.8735226055 0.9430140711 0.7485244297
0.6457345116 0.8323899463 1.0201415810 2.3267296238 9.3206836050 9.3206836050 9.3206836050 0.6457345116 0.8323899463 0.4970356807 0.0746365733 0.5710297098
0.3019839421 0.3969216868 -1.3861124052 -0.7215481925 9.3206836050 9.3206836050 9.3206836050 0.3019839421 0.3969216868 0.4885533670 0.6372558765 0.2477349114
0.1581362519 0.9520837620 -2.3930462370 3.1645863340 9.3206836050 9.3206836050 9.3206836050 0.1581362519 0.9520837620 0.5832135200 0.6559135544 0.7063814357
0.2278492728 0.2019463169 -1.9050550903 -2.0863757816 9.3206836050 9.3206836050 9.3206836050 0.2278492728 0.2019463169 0.2213833801 0.3961795542 0.7795541370
0.7846327403 0.8787725218 1.9924291821 2.6514076525 6.4005899027 9.3206836050 6.4005899027 0.7846327403 0.8787725218 0.2847670579 0.9092255924 0.7471040953
0.9748105489 0.2931909642 3.3236738424 -1.4476632509 9.3206836050 6.8415685880 6.8415685880 0.9748105489 0.2931909642 0.6790464154 0.9442768237 0.6025595532
0.1025194131 0.9934197626 -2.7823641080 3.4539383382 8.0186464535 9.3206836050 8.0186464535 0.1025194131 0.9934197626 0.2844504819 0.8988960881 0.7570754893
