# from_x0 from_x1 to_x0 to_x1 length
-1.3694430034 -1.5957716318 -1.3857255433 -1.6148290253 0.0049166070
-1.3985355977 -1.6148290253 -1.3857255433 -1.6148290253 0.0063833133
-1.3717797391 -1.5930786398 -1.3694430034 -1.5957716318 0.0040328207
-1.3719527773 -1.5892421660 -1.3694430034 -1.5957716318 0.0043236469
-1.3790195454 -1.5726967280 -1.3857255433 -1.6148290253 0.0069605231
-1.3658638025 -1.5918699874 -1.3719527773 -1.5892421660 0.0026735413
-1.3819826904 -1.5742975659 -1.3717797391 -1.5930786398 0.0041528411
-1.3712947991 -1.5760936506 -1.3658638025 -1.5918699874 0.0023835684
-1.3698827586 -1.6005993257 -1.3658638025 -1.5918699874 0.0020157504
-1.3753137552 -1.5863287141 -1.3719527773 -1.5892421660 0.0018706330
-1.3595870156 -1.5726967280 -1.3694430034 -1.5957716318 0.0052983063
-1.3675074864 -1.5828288268 -1.3717797391 -1.5930786398 0.0034975260
-1.3698827586 -1.6021050509 -1.3753137552 -1.5863287141 0.0023835684
-1.3712947991 -1.5773256076 -1.3719527773 -1.5892421660 0.0019664952
-1.3640591405 -1.5918502865 -1.3658638025 -1.5918699874 0.0019970310
-1.3844505419 -1.5501829039 -1.3595870156 -1.5726967280 0.0052663806
-1.3879525074 -1.5673791132 -1.3712947991 -1.5773256076 0.0035900890
-1.3886991524 -1.5829462879 -1.3985355977 -1.6148290253 0.0075130802
-1.3614202598 -1.6047778993 -1.3658638025 -1.5918699874 0.0019501924
-1.3719527773 -1.5933430539 -1.3640591405 -1.5918502865 0.0026598139
-1.3790195454 -1.6036189738 -1.3857255433 -1.6148290253 0.0038452992
-1.3546370907 -1.5875458702 -1.3719527773 -1.5892421660 0.0025805905
-1.3712947991 -1.5775993758 -1.3712947991 -1.5773256076 0.0006064788
-1.3604328059 -1.6076463241 -1.3614202598 -1.6047778993 0.0004333761
-1.3795474715 -1.5752868874 -1.3675074864 -1.5828288268 0.0032815285
-1.3799746137 -1.5678739207 -1.3795474715 -1.5752868874 0.0011508865
-1.4336636351 -1.5686632954 -1.3886991524 -1.5829462879 0.0144152707
-1.3670809107 -1.5939054267 -1.3790195454 -1.6036189738 0.0032221233
-1.3777340799 -1.6118006109 -1.3719527773 -1.5933430539 0.0039212529
-1.3844505419 -1.5501829039 -1.3795474715 -1.5752868874 0.0090081351
-1.3634584444 -1.5942522652 -1.3717797391 -1.5930786398 0.0027423206
-1.3916888672 -1.5799847465 -1.3795474715 -1.5752868874 0.0054790821
-1.3712947991 -1.5942066921 -1.3698827586 -1.6021050509 0.0041686977
