# from_x0 from_x1 to_x0 to_x1 length
1.7542676472 0.9645659080 1.7542676472 0.9903449879 0.0071913982
1.7093063766 0.9590442043 1.7542676472 0.9645659080 0.0095109385
1.7376416092 0.9842987891 1.7542676472 0.9903449879 0.0043655822
1.7282778096 1.0009971147 1.7542676472 0.9645659080 0.0104726536
1.7395355366 0.9700372929 1.7093063766 0.9590442043 0.0076299874
1.7149361769 0.9464808785 1.7093063766 0.9590442043 0.0059863399
1.7395355366 0.9700372929 1.7395355366 0.9700372929 0.0021876842
1.7113230890 0.9495119106 1.7093063766 0.9590442043 0.0072998654
1.7141305548 0.9590442043 1.7093063766 0.9590442043 0.0035634076
1.7664350533 0.9427059346 1.7542676472 0.9645659080 0.0049693250
1.7482581380 0.9792977586 1.7395355366 0.9700372929 0.0051693701
1.7347381059 0.9649440368 1.7395355366 0.9700372929 0.0031346175
1.7029223666 0.9702794405 1.7542676472 0.9645659080 0.0108354173
1.7489753872 0.9597077349 1.7542676472 0.9645659080 0.0074960104
1.7483103184 0.9641779314 1.7113230890 0.9495119106 0.0096117447
1.7109975708 0.9909380040 1.7029223666 0.9702794405 0.0085548388
1.7483103184 0.9641779314 1.7483103184 0.9641779314 0.0003079739
1.7525915456 0.9825723994 1.7482581380 0.9792977586 0.0213580989
1.7492663389 0.9887068088 1.7483103184 0.9641779314 0.0035740612
1.6973916960 1.0036547777 1.7029223666 0.9702794405 0.0049179855
1.7650018343 0.9238282131 1.7489753872 0.9597077349 0.0116950707
1.7452247463 0.9144828599 1.7482581380 0.9792977586 0.0118212475
1.7356121357 0.9337267259 1.7650018343 0.9238282131 0.0070910684
1.7609263038 0.9574130039 1.7542676472 0.9645659080 0.0082687121
1.7254557341 0.9455143561 1.7482581380 0.9792977586 0.0085835504
1.7483067697 0.9481528123 1.7395355366 0.9700372929 0.0065986646
1.7561615747 0.9760834917 1.7395355366 0.9700372929 0.0043655822
1.6882401773 0.9327184160 1.7113230890 0.9495119106 0.0097179572
1.7929766257 0.9735875245 1.7492663389 0.9887068088 0.0099195161
1.7236762614 0.9532000827 1.7149361769 0.9464808785 0.0058160261
1.6911625613 0.9498517383 1.7282778096 1.0009971147 0.0109958371
1.7329168576 0.8684091172 1.6882401773 0.9327184160 0.0117505621
1.7158756274 0.9535332368 1.7254557341 0.9455143561 0.0047956574
1.8063484024 0.9700136444 1.7929766257 0.9735875245 0.0022733258
1.7448874779 0.9803055267 1.7141305548 0.9590442043 0.0099396746
1.7757837465 0.9402290984 1.7347381059 0.9649440368 0.0078772240
1.7145296575 0.9498517383 1.7158756274 0.9535332368 0.0084810930
1.7743710107 0.9418255091 1.7525915456 0.9825723994 0.0109240764
1.7699506223 0.9478495083 1.7929766257 0.9735875245 0.0095007879
1.7228816332 1.0038453210 1.7109975708 0.9909380040 0.0088241157
1.7598786918 0.9634064543 1.7489753872 0.9597077349 0.0074201300
1.7035478838 0.9143611136 1.6911625613 0.9498517383 0.0063515137
1.7596727801 0.9699041118 1.7483067697 0.9481528123 0.0056777114
1.7029223666 0.9702794405 1.7029223666 0.9702794405 0.0099544860
1.6911901172 1.0130417527 1.7525915456 0.9825723994 0.0115262608
1.7573578995 0.9384378160 1.7596727801 0.9699041118 0.0080610391
1.6975845853 0.9787021628 1.7113230890 0.9495119106 0.0089598519
1.7080132325 0.8923548506 1.7149361769 0.9464808785 0.0089198173
1.7804429842 1.0104528935 1.7609263038 0.9574130039 0.0097311697
1.6699212500 0.9950761192 1.7109975708 0.9909380040 0.0089652825
1.7759462107 0.8934628528 1.7650018343 0.9238282131 0.0092153138
1.7479642948 1.0002636929 1.7525915456 0.9825723994 0.0078852794
1.8040254224 0.9739975017 1.7757837465 0.9402290984 0.0076168448
1.7511219462 0.9894060881 1.7596727801 0.9699041118 0.0050074427
1.7825535535 1.0000446678 1.7804429842 1.0104528935 0.0075296631
1.7873548395 1.0119527964 1.7561615747 0.9760834917 0.0093075298
1.6750406024 0.8837698704 1.7080132325 0.8923548506 0.0063502213
