# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6957081459 1.4504013407 1.3699570216 88.0967064035 88.9515948097 88.0967064035 0.7072001915 0.6957081459 0.2012483455 0.3651176984 0.3806005891
0.7072001915 0.6937274046 1.4504013407 1.3560918323 89.3963391258 88.0922697446 88.0922697446 0.7072001915 0.6937274046 0.2017571492 0.3617196269 0.3817336373
0.7079052372 0.6932716115 1.4553366604 1.3529012806 89.4446059962 87.8049048694 87.8049048694 0.7079052372 0.6932716115 0.2029254569 0.3620249802 0.3712999772
0.7079052372 0.6932716115 1.4553366604 1.3529012806 89.4446059962 87.8049048694 87.8049048694 0.7079052372 0.6932716115 0.2029254569 0.3620249802 0.3712999772
0.7079052372 0.6932716115 1.4553366604 1.3529012806 89.4446059962 87.8049048694 87.8049048694 0.7079052372 0.6932716115 0.2029254569 0.3620249802 0.3712999772
0.7017302661 0.6907898197 1.4121118629 1.3355287382 87.1411174841 87.1654233703 87.1411174841 0.7017302661 0.6907898197 0.2034648184 0.3512288271 0.3748203172
0.7083827112 0.6950064303 1.4586789783 1.3650450118 86.8512622484 88.1080928897 86.8512622484 0.7083827112 0.6950064303 0.1993170911 0.3696547456 0.3822844255
0.7083827112 0.6950064303 1.4586789783 1.3650450118 86.8512622484 88.1080928897 86.8512622484 0.7083827112 0.6950064303 0.1993170911 0.3696547456 0.3822844255
0.7083827112 0.6950064303 1.4586789783 1.3650450118 86.8512622484 88.1080928897 86.8512622484 0.7083827112 0.6950064303 0.1993170911 0.3696547456 0.3822844255
0.7053750159 0.6894788070 1.4376251115 1.3263516492 87.9518288075 86.5817533561 86.5817533561 0.7053750159 0.6894788070 0.1963307237 0.3657620687 0.3791685374
