# from_x0 from_x1 to_x0 to_x1 length
1.4713635182 1.3348214427 1.4504013407 1.3699570216 0.0069900239
1.4113800341 1.3480767457 1.4713635182 1.3348214427 0.0216553929
1.4332016796 1.3948616940 1.4113800341 1.3480767457 0.0119287545
1.4144035741 1.3924434096 1.4332016796 1.3948616940 0.0073030637
1.4586789783 1.3650450118 1.4504013407 1.3699570216 0.0053889334
1.4504013407 1.3560918323 1.4504013407 1.3699570216 0.0041246704
1.4553366604 1.3529012806 1.4332016796 1.3948616940 0.0085454837
1.4121118629 1.3355287382 1.4113800341 1.3480767457 0.0109064422
1.3959251712 1.3540332203 1.4113800341 1.3480767457 0.0088801589
1.4376251115 1.3263516492 1.4504013407 1.3699570216 0.0082936674
1.4274611982 1.3447475865 1.4504013407 1.3560918323 0.0047041050
1.4799060704 1.4085331727 1.4504013407 1.3699570216 0.0081396146
1.4799402785 1.3501185457 1.4553366604 1.3529012806 0.0087930107
1.4833056172 1.3263516492 1.4713635182 1.3348214427 0.0053967784
1.4321232172 1.4384516277 1.4144035741 1.3924434096 0.0088605072
1.4204854204 1.3410073207 1.4799402785 1.3501185457 0.0094025085
1.3982227180 1.3508006033 1.3959251712 1.3540332203 0.0101579457
1.4505584513 1.4118403699 1.4113800341 1.3480767457 0.0111975239
1.5411064480 1.3307925276 1.4799402785 1.3501185457 0.0125161078
1.4377632989 1.3738214017 1.4274611982 1.3447475865 0.0072152158
1.4513715855 1.3233617078 1.4713635182 1.3348214427 0.0072407334
1.5216500796 1.3633961453 1.5411064480 1.3307925276 0.0090425331
1.4646511873 1.3472198875 1.4799402785 1.3501185457 0.0052844649
1.4925231488 1.4223983620 1.4799060704 1.4085331727 0.0045012993
1.3988463489 1.4348140577 1.4332016796 1.3948616940 0.0123450831
1.4321232172 1.3891746263 1.4204854204 1.3410073207 0.0075567553
1.3880062434 1.3301995401 1.4376251115 1.3263516492 0.0074570032
1.4490707430 1.3927715806 1.4321232172 1.3891746263 0.0045937156
1.4833056172 1.3633491894 1.5216500796 1.3633961453 0.0095899810
1.5346342329 1.3927715806 1.4799060704 1.4085331727 0.0141362635
1.4568253726 1.4105536018 1.4332016796 1.3948616940 0.0070201477
1.5488688371 1.3118393112 1.5346342329 1.3927715806 0.0241171151
1.4981893914 1.3801578393 1.4586789783 1.3650450118 0.0100402989
1.3953250412 1.3034578853 1.4204854204 1.3410073207 0.0081856466
1.4510535517 1.2732357587 1.4513715855 1.3233617078 0.0156346076
1.4541364973 1.3952777041 1.4377632989 1.3738214017 0.0109018577
1.4062048530 1.4009926033 1.3988463489 1.4348140577 0.0135493609
1.4352226688 1.3824318789 1.4490707430 1.3927715806 0.0112442285
1.4203229923 1.2923849959 1.4204854204 1.3410073207 0.0080873530
1.3784782542 1.3190361698 1.4203229923 1.2923849959 0.0111721949
1.4578641590 1.4316596171 1.4321232172 1.4384516277 0.0053438345
1.5017145324 1.3749500344 1.5488688371 1.3118393112 0.0144783796
1.3648515412 1.3745723534 1.3959251712 1.3540332203 0.0125646364
1.5293056138 1.3146418732 1.5411064480 1.3307925276 0.0097696968
1.5006379841 1.3768841505 1.4833056172 1.3633491894 0.0075985922
1.4698858761 1.3979114133 1.4490707430 1.3927715806 0.0069468999
1.4651217379 1.3389834451 1.5017145324 1.3749500344 0.0132784311
1.4321232172 1.3210847296 1.4203229923 1.2923849959 0.0074493431
1.5006379841 1.4024440310 1.4799060704 1.4085331727 0.0073289042
1.4194780211 1.3648719410 1.4113800341 1.3480767457 0.0087172618
1.3648515412 1.4484335238 1.3988463489 1.4348140577 0.0081757779
1.4349941238 1.2257249553 1.4203229923 1.2923849959 0.0098868606
1.4716329112 1.3329198715 1.4352226688 1.3824318789 0.0095619748
1.5862656709 1.3626751925 1.5346342329 1.3927715806 0.0141653051
1.5345331476 1.3516600776 1.5488688371 1.3118393112 0.0102458169
1.5058457016 1.3043784186 1.5345331476 1.3516600776 0.0116147355
1.4691324329 1.4228185038 1.4568253726 1.4105536018 0.0060834244
1.4163242537 1.4024440310 1.4062048530 1.4009926033 0.0063648457
1.3876228665 1.3383234905 1.3982227180 1.3508006033 0.0154948641
1.4516740002 1.3063420389 1.4121118629 1.3355287382 0.0124284226
1.3964148327 1.3249175044 1.3784782542 1.3190361698 0.0059053475
1.4102700244 1.3300570292 1.4204854204 1.3410073207 0.0038610652
1.4099400149 1.4350545504 1.3959251712 1.3540332203 0.0120025970
1.4266515606 1.3470564613 1.4586789783 1.3650450118 0.0100300669
1.4204431592 1.3153626623 1.4513715855 1.3233617078 0.0079428213
1.3934814581 1.3154439242 1.3784782542 1.3190361698 0.0075034545
1.4706600338 1.3217952096 1.4541364973 1.3952777041 0.0117513493
1.4992936463 1.3970571700 1.4799060704 1.4085331727 0.0091163701
1.4008337603 1.3761373761 1.4274611982 1.3447475865 0.0070745368
1.4462903791 1.3082166242 1.4274611982 1.3447475865 0.0129612475
1.3825531755 1.3342508650 1.3880062434 1.3301995401 0.0065689855
1.4122098932 1.3681625605 1.4204854204 1.3410073207 0.0113857508
1.4581814521 1.4497470298 1.4321232172 1.4384516277 0.0101601340
1.4918725504 1.4155677566 1.4992936463 1.3970571700 0.0082192122
1.5596438491 1.3970239844 1.5345331476 1.3516600776 0.0105863251
1.5226450367 1.4574032747 1.5596438491 1.3970239844 0.0145617219
1.3730485515 1.2992739521 1.4274611982 1.3447475865 0.0127562591
1.4483158854 1.4715961545 1.4925231488 1.4223983620 0.0118084409
1.4257097298 1.3263516492 1.3982227180 1.3508006033 0.0076519595
1.3758883148 1.3392024844 1.3953250412 1.3034578853 0.0104023008
1.3619542188 1.2537516774 1.3876228665 1.3383234905 0.0136513654
1.4343566996 1.3611401535 1.3982227180 1.3508006033 0.0095105794
1.4845714395 1.2933579130 1.4833056172 1.3263516492 0.0068604880
1.5313104461 1.4603107519 1.4925231488 1.4223983620 0.0095699991
1.4493144329 1.3540057739 1.4698858761 1.3979114133 0.0088196352
1.3124956471 1.3155684058 1.3959251712 1.3540332203 0.0152835554
1.5208460847 1.4117059845 1.5226450367 1.4574032747 0.0101549141
1.4450059692 1.2869937790 1.4462903791 1.3082166242 0.0067194834
1.5105741692 1.3217764516 1.5058457016 1.3043784186 0.0081437455
1.4080324752 1.3948393563 1.4505584513 1.4118403699 0.0124924019
1.4770399365 1.2537516774 1.4845714395 1.2933579130 0.0121341197
1.4757643727 1.3550181643 1.4493144329 1.3540057739 0.0040425754
1.4412033701 1.3517416564 1.4646511873 1.3472198875 0.0067943492
1.5774555341 1.4097117354 1.5596438491 1.3970239844 0.0075368363
1.4827049789 1.4828005520 1.5313104461 1.4603107519 0.0102761850
1.4206945992 1.3697988229 1.3959251712 1.3540332203 0.0083148587
