# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.9808482528 0.2733580633 3.3659377697 -1.5864935567 0.0000023975 0.0000020859 0.0000020859 0.9808482528 0.2733580633 0.8780973570 0.0468482379 0.3852458563
0.5888900763 0.8252462774 0.6222305343 2.2767239419 0.0000021993 0.0454306657 0.0000021993 0.5888900763 0.8252462774 0.3883511028 0.0598170454 0.3510240238
0.2223228068 0.0526451365 -1.9437403521 -3.1314840445 0.0000021788 0.0000737801 0.0000021788 0.2223228068 0.0526451365 0.1827727147 0.2717460351 0.0097302413
0.8206445624 0.9207097345 2.2445119366 2.9449681417 0.0000293748 0.0000063416 0.0000063416 0.8206445624 0.9207097345 0.9023809009 0.7028571915 0.6105208587
0.9446405948 0.7496677845 3.1124841634 1.7476744918 0.0000021993 0.0454306657 0.0000021993 0.9446405948 0.7496677845 0.1710544882 0.7600590517 0.7702579356
0.5552614623 0.1379259027 0.3868302361 -2.5345186811 0.0475172327 0.0000737801 0.0000737801 0.5552614623 0.1379259027 0.1295776048 0.9097563599 0.7646053104
0.9582015192 0.1587020418 3.2074106342 -2.3890857076 0.0000023975 0.0000020767 0.0000020767 0.9582015192 0.1587020418 0.6396334052 0.8961705743 0.2631825330
0.8605103686 0.3311904005 2.5235725799 -1.1816671967 0.0475172327 0.0000020767 0.0000020767 0.8605103686 0.3311904005 0.2881572737 0.0556428485 0.1631653881
0.6381104533 0.5622828248 0.9667731729 0.4359797733 0.0000293748 0.0000063416 0.0000063416 0.6381104533 0.5622828248 0.9642051846 0.6447272363 0.8424434347
0.1499563454 0.6660917471 -2.4503055819 1.1626422296 0.0000026663 0.0011291904 0.0000026663 0.1499563454 0.6660917471 0.0726425286 0.5248884066 0.8423085964
0.3865069686 0.2533226512 -0.7944512199 -1.7267414417 0.0000021788 0.0000084362 0.0000021788 0.3865069686 0.2533226512 0.8829217534 0.2580975686 0.0051146462
0.2522291918 0.4076043481 -1.7343956571 -0.6467695634 0.0000027282 0.0000084362 0.0000027282 0.2522291918 0.4076043481 0.8750621858 0.5322753179 0.0554082297
0.4069604266 0.0427090793 -0.6512770141 -3.2010364446 0.0000021788 0.0000084362 0.0000021788 0.4069604266 0.0427090793 0.5151694227 0.3842211272 0.9449603574
0.9879413109 0.5986494700 3.4155891765 0.6905462900 0.0000021993 0.0454306657 0.0000021993 0.9879413109 0.5986494700 0.2153857502 0.8254186139 0.4751961835
0.1429670876 0.5623527711 -2.4992303865 0.4364693977 0.0000026663 0.0011291904 0.0000026663 0.1429670876 0.5623527711 0.2162969709 0.4195960179 0.9173917299
0.9526997432 0.9516912717 3.1688982026 3.1618389020 0.0000021993 0.0454306657 0.0000021993 0.9526997432 0.9516912717 0.0160235968 0.0904599546 0.7211336077
0.2008175608 0.9023573268 -2.0942770741 2.8165012877 0.0000026663 0.0011291904 0.0000026663 0.2008175608 0.9023573268 0.3279502304 0.7332969712 0.7219463977
0.8559406541 0.0786512645 2.4915845787 -2.9494411488 0.0000023975 0.0000020859 0.0000020859 0.8559406541 0.0786512645 0.8587827049 0.7999673696 0.2159921070
0.7938588129 0.6268051125 2.0570116904 0.8876357872 0.0000293748 0.0000063416 0.0000063416 0.7938588129 0.6268051125 0.6562492892 0.6148041660 0.9153902317
0.5687188465 0.1154681687 0.4810319256 -2.6917228188 0.0000023975 0.0000020767 0.0000020767 0.5687188465 0.1154681687 0.5584415170 0.2250590698 0.0733006807
0.8061836661 0.2312494039 2.1432856626 -1.8812541728 0.0000023975 0.0000020859 0.0000020859 0.8061836661 0.2312494039 0.7030518004 0.1890039240 0.9431809293
0.3583419043 0.2765612105 -0.9916066699 -1.5640715268 0.0000021788 0.0000737801 0.0000021788 0.3583419043 0.2765612105 0.2672378670 0.7455532853 0.1348746055
0.5374944573 0.3225493259 0.2624612009 -1.2421547185 0.0000024545 0.0000084362 0.0000024545 0.5374944573 0.3225493259 0.9101022599 0.0269251257 0.3704812045
0.2770290278 0.6998693423 -1.5607968056 1.3990853958 0.0000028594 0.0000407664 0.0000028594 0.2770290278 0.6998693423 0.9394045167 0.4939086687 0.5587294597
0.9049255016 0.5669013959 2.8344785115 0.4683097714 0.0000293748 0.0000063416 0.0000063416 0.9049255016 0.5669013959 0.9041377927 0.5032182497 0.2276119761
0.8661529882 0.2370346549 2.5630709172 -1.8407574154 0.0000023975 0.0000020767 0.0000020767 0.8661529882 0.2370346549 0.5381369266 0.9450612502 0.4458185610
0.0200093733 0.6226597131 -3.3599343867 0.8586179916 0.0000027282 0.0000042629 0.0000027282 0.0200093733 0.6226597131 0.8422110773 0.4634395744 0.7990043550
0.3574046204 0.2706573140 -0.9981676571 -1.6053988022 0.0000021788 0.0000084362 0.0000021788 0.3574046204 0.2706573140 0.5754587469 0.8429377305 0.1390327694
0.9487919749 0.1316553240 3.1415438240 -2.5784127323 0.0475172327 0.0000020767 0.0000020767 0.9487919749 0.1316553240 0.3803926216 0.5492380466 0.7261863569
