# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.9727604593 0.5177237314 3.3093232151 0.1240661201 0.0475172327 0.0454306657 0.0454306657 0.9727604593 0.5177237314 0.0631383890 0.4111099301 0.3117145546
0.9858706736 0.4884337440 3.4010947155 -0.0809637919 0.0475172327 0.0454306657 0.0454306657 0.9858706736 0.4884337440 0.0498178394 0.6566513541 0.4525254154
0.9763766042 0.5019353039 3.3346362293 0.0135471271 0.0475172327 0.0454306657 0.0454306657 0.9763766042 0.5019353039 0.3921571116 0.6456871005 0.8365849684
0.9858706736 0.4884337440 3.4010947155 -0.0809637919 0.0475172327 0.0454306657 0.0454306657 0.9858706736 0.4884337440 0.0498178394 0.6566513541 0.4525254154
0.9727604593 0.5177237314 3.3093232151 0.1240661201 0.0475172327 0.0454306657 0.0454306657 0.9727604593 0.5177237314 0.0631383890 0.4111099301 0.3117145546
0.6142088578 0.5068739899 0.7994620047 0.0481179296 0.0475172327 0.0454306657 0.0454306657 0.6142088578 0.5068739899 0.0775605412 0.1052797543 0.8691203811
0.8426989547 0.5276597975 2.3988926829 0.1936185826 0.0475172327 0.0454306657 0.0454306657 0.8426989547 0.5276597975 0.3850543687 0.0880972746 0.3566196648
0.6142088578 0.5068739899 0.7994620047 0.0481179296 0.0475172327 0.0454306657 0.0454306657 0.6142088578 0.5068739899 0.0775605412 0.1052797543 0.8691203811
0.9727604593 0.5177237314 3.3093232151 0.1240661201 0.0475172327 0.0454306657 0.0454306657 0.9727604593 0.5177237314 0.0631383890 0.4111099301 0.3117145546
0.9763766042 0.5019353039 3.3346362293 0.0135471271 0.0475172327 0.0454306657 0.0454306657 0.9763766042 0.5019353039 0.3921571116 0.6456871005 0.8365849684
0.8426989547 0.5276597975 2.3988926829 0.1936185826 0.0475172327 0.0454306657 0.0454306657 0.8426989547 0.5276597975 0.3850543687 0.0880972746 0.3566196648
0.9904301078 0.4999471397 3.4330107543 -0.0003700221 0.0475172327 0.0454306657 0.0454306657 0.9904301078 0.4999471397 0.0721134605 0.4327902983 0.2691664575
0.9562986817 0.5037246621 3.1940907717 0.0260726344 0.0475172327 0.0454306657 0.0454306657 0.9562986817 0.5037246621 0.0963908324 0.6692039265 0.4642138716
0.5809373780 0.4941676118 0.5665616460 -0.0408267172 0.0484592920 0.0454306657 0.0454306657 0.5809373780 0.4941676118 0.0559810393 0.2744264500 0.2390381675
0.9858706736 0.4884337440 3.4010947155 -0.0809637919 0.0475172327 0.0454306657 0.0454306657 0.9858706736 0.4884337440 0.0498178394 0.6566513541 0.4525254154
0.9864278309 0.4976713277 3.4049948162 -0.0163007064 0.0475172327 0.0454306657 0.0454306657 0.9864278309 0.4976713277 0.0829270226 0.6443620326 0.3980740509
1.0000000000 0.5060240186 3.5000000000 0.0421681299 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5060240186 0.0739208181 0.6569854544 0.4507242239
1.0000000000 0.4905967299 3.5000000000 -0.0658228910 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.4905967299 0.0727538383 0.6297139555 0.4629222631
0.9562986817 0.5037246621 3.1940907717 0.0260726344 0.0475172327 0.0454306657 0.0454306657 0.9562986817 0.5037246621 0.0963908324 0.6692039265 0.4642138716
0.9763766042 0.5019353039 3.3346362293 0.0135471271 0.0475172327 0.0454306657 0.0454306657 0.9763766042 0.5019353039 0.3921571116 0.6456871005 0.8365849684
1.0000000000 0.5416514328 3.5000000000 0.2915600297 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5416514328 0.0603270544 0.6542733875 0.4495476390
0.6142088578 0.5068739899 0.7994620047 0.0481179296 0.0475172327 0.0454306657 0.0454306657 0.6142088578 0.5068739899 0.0775605412 0.1052797543 0.8691203811
0.6469806653 0.5325757791 1.0288646570 0.2280304536 0.0475172327 0.0454306657 0.0454306657 0.6469806653 0.5325757791 0.0000000000 0.0092898295 0.1033305511
1.0000000000 0.5238834824 3.5000000000 0.1671843766 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5238834824 0.4044877455 0.1609056748 1.0000000000
1.0000000000 0.5329454650 3.5000000000 0.2306182550 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5329454650 0.1848099545 0.7308243452 0.5877760049
0.9602096593 0.4895574902 3.2214676148 -0.0730975689 0.0475172327 0.0454306657 0.0454306657 0.9602096593 0.4895574902 0.0355283283 0.6804878624 0.4354759736
0.9763766042 0.5019353039 3.3346362293 0.0135471271 0.0475172327 0.0454306657 0.0454306657 0.9763766042 0.5019353039 0.3921571116 0.6456871005 0.8365849684
0.9864278309 0.4976713277 3.4049948162 -0.0163007064 0.0475172327 0.0454306657 0.0454306657 0.9864278309 0.4976713277 0.0829270226 0.6443620326 0.3980740509
1.0000000000 0.5326726089 3.5000000000 0.2287082625 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5326726089 0.4591799013 0.4776243325 0.8886350336
1.0000000000 0.5238834824 3.5000000000 0.1671843766 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5238834824 0.4044877455 0.1609056748 1.0000000000
1.0000000000 0.5416514328 3.5000000000 0.2915600297 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5416514328 0.0603270544 0.6542733875 0.4495476390
1.0000000000 0.5060240186 3.5000000000 0.0421681299 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5060240186 0.0739208181 0.6569854544 0.4507242239
0.9893366242 0.5341408927 3.4253563692 0.2389862488 0.0475172327 0.0454306657 0.0454306657 0.9893366242 0.5341408927 0.2169910147 0.0626845733 0.4913300389
1.0000000000 0.4905967299 3.5000000000 -0.0658228910 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.4905967299 0.0727538383 0.6297139555 0.4629222631
0.9602096593 0.4895574902 3.2214676148 -0.0730975689 0.0475172327 0.0454306657 0.0454306657 0.9602096593 0.4895574902 0.0355283283 0.6804878624 0.4354759736
0.6286562788 0.4958009196 0.9005939519 -0.0293935625 0.0475172327 0.0454306657 0.0454306657 0.6286562788 0.4958009196 0.0969107050 0.1360961343 0.7973617575
0.6023441356 0.5359091223 0.7164089491 0.2513638564 0.0475172327 0.0454306657 0.0454306657 0.6023441356 0.5359091223 0.0271370509 0.1276771253 0.9047580257
1.0000000000 0.5263445332 3.5000000000 0.1844117321 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5263445332 0.0000000000 0.6281407339 0.4319999106
1.0000000000 0.5415909264 3.5000000000 0.2911364847 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5415909264 0.0935746906 0.6834835499 0.4750100633
0.5636263039 0.5352222439 0.4453841274 0.2465557071 0.0475172327 0.0454306657 0.0454306657 0.5636263039 0.5352222439 0.0428365848 0.1440341187 0.8620873987
0.9788523605 0.5417151517 3.3519665236 0.2920060618 0.0475172327 0.0454306657 0.0454306657 0.9788523605 0.5417151517 0.0821905035 0.3836866918 0.3206604629
0.5966764989 0.5175351920 0.6767354921 0.1227463437 0.0475172327 0.0454306657 0.0454306657 0.5966764989 0.5175351920 0.1225401839 0.0670626771 0.8709830620
1.0000000000 0.5329454650 3.5000000000 0.2306182550 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5329454650 0.1848099545 0.7308243452 0.5877760049
0.9102953741 0.5096108320 2.8720676188 0.0672758243 0.0475172327 0.0454306657 0.0454306657 0.9102953741 0.5096108320 0.0849025726 0.6559206623 0.7628275895
0.9563646317 0.5187719587 3.1945524219 0.1314037111 0.0475172327 0.0454306657 0.0454306657 0.9563646317 0.5187719587 0.3735051868 0.7860572866 0.4312215203
1.0000000000 0.5326726089 3.5000000000 0.2287082625 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5326726089 0.4591799013 0.4776243325 0.8886350336
0.9763766042 0.5019353039 3.3346362293 0.0135471271 0.0475172327 0.0454306657 0.0454306657 0.9763766042 0.5019353039 0.3921571116 0.6456871005 0.8365849684
1.0000000000 0.5416514328 3.5000000000 0.2915600297 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5416514328 0.0603270544 0.6542733875 0.4495476390
0.9602096593 0.4895574902 3.2214676148 -0.0730975689 0.0475172327 0.0454306657 0.0454306657 0.9602096593 0.4895574902 0.0355283283 0.6804878624 0.4354759736
