# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7789513656 0.8646454469 1.9526595594 2.5525181280 0.0000021993 21.0508742871 0.0000021993 0.7789513656 0.8646454469 0.3129759598 0.7119934573 0.2921692223
0.7789513656 0.8646454469 1.9526595594 2.5525181280 0.0000021993 21.0508742871 0.0000021993 0.7789513656 0.8646454469 0.3129759598 0.7119934573 0.2921692223
0.7763314019 0.8589396571 1.9343198132 2.5125776000 0.0000021993 1.1098066463 0.0000021993 0.7763314019 0.8589396571 0.2737483961 0.6782756563 0.1915111634
0.8375614884 0.8380705585 2.3629304186 2.3664939096 0.0000021993 1.1003563469 0.0000021993 0.8375614884 0.8380705585 0.3403950010 0.5617975250 0.1145020843
0.8045644571 0.7998559282 2.1319511994 2.0989914973 0.0000021993 0.9863054230 0.0000021993 0.8045644571 0.7998559282 0.2514631791 0.5886810589 0.1737935479
0.8558174063 0.9194812516 2.4907218441 2.9363687609 0.0000021993 0.4533511717 0.0000021993 0.8558174063 0.9194812516 0.3151897801 0.6064757268 0.2139935846
0.7717600808 0.8836016245 1.9023205656 2.6852113717 0.0000021993 0.2953633416 0.0000021993 0.7717600808 0.8836016245 0.3642812675 0.7070363880 0.1094359709
0.9009073190 0.7873017367 2.8063512330 2.0111121566 0.0000021993 0.2869463577 0.0000021993 0.9009073190 0.7873017367 0.3164117679 0.5684209295 0.1207308630
0.8569724699 0.8499291223 2.4988072894 2.4495038562 0.0000021993 0.1640550510 0.0000021993 0.8569724699 0.8499291223 0.2695316221 0.7231892006 0.1109898587
0.7923513959 0.8789501165 2.0464597711 2.6526508157 0.0000021993 0.1474171386 0.0000021993 0.7923513959 0.8789501165 0.3235493881 0.6369977079 0.4928139413
0.7200987509 0.9170089059 1.5406912566 2.9190623413 0.0000021993 0.1438841291 0.0000021993 0.7200987509 0.9170089059 0.2712315505 0.6052084124 0.3125832741
0.7583031637 0.8571614116 1.8081221459 2.5001298811 0.0000021993 0.1431593625 0.0000021993 0.7583031637 0.8571614116 0.2551639135 0.5094205404 0.2403804344
0.8130713489 0.9197016568 2.1914994424 2.9379115973 0.0000021993 0.1037671639 0.0000021993 0.8130713489 0.9197016568 0.2104947180 0.5341750751 0.4835494297
0.8705437394 0.8255916221 2.5938061756 2.2791413547 0.0000021993 0.0879062831 0.0000021993 0.8705437394 0.8255916221 0.3601331065 0.7086701537 0.0080382965
0.8485200454 0.7284424484 2.4396403178 1.5990971388 0.0000024875 0.0835914937 0.0000024875 0.8485200454 0.7284424484 0.2258275639 0.4359459147 0.0756016199
0.7657470751 1.0000000000 1.8602295256 3.5000000000 0.0000021993 0.0832966408 0.0000021993 0.7657470751 1.0000000000 0.3219835720 0.5488986715 0.3672111850
0.8656764389 0.7625212123 2.5597350726 1.8376484859 0.0000021993 0.0789409101 0.0000021993 0.8656764389 0.7625212123 0.3982132107 0.5752244943 0.0329912798
0.7998052672 0.9490968797 2.0986368703 3.1436781578 0.0000021993 0.0722972229 0.0000021993 0.7998052672 0.9490968797 0.2879497665 0.4300193179 0.3739830434
0.8096618815 0.7740518063 2.1676331702 1.9183626444 0.0000021993 0.0720698644 0.0000021993 0.8096618815 0.7740518063 0.3133612266 0.3953649535 0.1334152960
0.7825307686 0.8546182776 1.9777153799 2.4823279429 0.0000021993 0.0657380666 0.0000021993 0.7825307686 0.8546182776 0.2543868715 0.3642476623 0.3241377079
0.8265306750 0.7278656033 2.2857147250 1.5950592228 0.0000021993 0.0630707467 0.0000021993 0.8265306750 0.7278656033 0.4019851725 0.5867164715 0.1535839298
0.8739534059 0.8927191839 2.6176738412 2.7490342876 0.0000021993 0.0607189773 0.0000021993 0.8739534059 0.8927191839 0.2082684006 0.6802589832 0.2875464703
0.8453991341 0.8585539206 2.4177939385 2.5098774444 0.0000021993 0.0606775562 0.0000021993 0.8453991341 0.8585539206 0.4129614008 0.6838807128 0.3773718441
0.7315403446 1.0000000000 1.6207824124 3.5000000000 0.0000021993 0.0604792419 0.0000021993 0.7315403446 1.0000000000 0.4338663380 0.8009236904 0.1579243162
0.8210218680 0.8721767715 2.2471530758 2.6052374003 0.0000021993 0.0548254530 0.0000021993 0.8210218680 0.8721767715 0.4841219733 0.6802063997 0.2678763913
0.9160933436 0.8191190676 2.9126534053 2.2338334731 0.0000021993 0.0544769352 0.0000021993 0.9160933436 0.8191190676 0.3975659360 0.5202982325 0.1351222013
0.8319742185 0.9188804439 2.3238195297 2.9321631076 0.0000021993 0.0527676352 0.0000021993 0.8319742185 0.9188804439 0.3134544821 0.4014911624 0.1521281670
0.7955004677 1.0000000000 2.0685032740 3.5000000000 0.0000021993 0.0516892070 0.0000021993 0.7955004677 1.0000000000 0.2966880144 0.7683880857 0.1240682474
0.9666032285 0.7581293391 3.2662225997 1.8069053739 0.0000021993 0.0473340157 0.0000021993 0.9666032285 0.7581293391 0.2315654242 0.5239875218 0.1737753376
0.7176440912 1.0000000000 1.5235086384 3.5000000000 0.0000021993 0.0472814849 0.0000021993 0.7176440912 1.0000000000 0.2883624599 0.4906275238 0.5467955614
0.8194030068 1.0000000000 2.2358210479 3.5000000000 0.0000021993 0.0467584070 0.0000021993 0.8194030068 1.0000000000 0.2196668459 0.8192360029 0.2586275922
0.6854729205 0.9852606668 1.2983104433 3.3968246674 0.0000021993 0.0466768296 0.0000021993 0.6854729205 0.9852606668 0.3935242252 0.6898873146 0.2429583742
0.6931014673 1.0000000000 1.3517102711 3.5000000000 0.0000021993 0.0464608981 0.0000021993 0.6931014673 1.0000000000 0.2461977321 0.7009618394 0.4844159670
0.7870594893 0.7537434108 2.0094164254 1.7762038758 0.0000028712 0.0458978423 0.0000028712 0.7870594893 0.7537434108 0.3230544069 0.2945985179 0.1774798670
0.9017281816 0.8327873261 2.8120972711 2.3295112829 0.0000021993 0.0456728891 0.0000021993 0.9017281816 0.8327873261 0.2056594593 0.2562235666 0.4590451949
0.9105464403 0.9026687646 2.8738250822 2.8186813523 0.0000021993 0.0455428401 0.0000021993 0.9105464403 0.9026687646 0.3916179666 0.5035830147 0.2735590090
0.6277019860 0.5328990852 0.8939139022 0.2302935962 0.0475172327 0.0454306657 0.0454306657 0.6277019860 0.5328990852 0.1907608228 0.7487782983 0.5985752231
1.0000000000 0.5298620284 3.5000000000 0.2090341989 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5298620284 0.3592096273 0.6735686744 0.6664381417
0.6191315013 0.5340208024 0.8339205094 0.2381456171 0.0594172685 0.0454306657 0.0454306657 0.6191315013 0.5340208024 0.2716341697 0.5251788874 0.5596376921
1.0000000000 0.5329454650 3.5000000000 0.2306182550 0.0475172327 0.0454306657 0.0454306657 1.0000000000 0.5329454650 0.1848099545 0.7308243452 0.5877760049
0.5806359781 0.5386096110 0.5644518467 0.2702672769 0.0860215470 0.0454306657 0.0454306657 0.5806359781 0.5386096110 0.2040875561 0.6599133427 0.5953884213
0.8416666075 0.6187386263 2.3916662523 0.8311703840 0.0000021993 0.0454306657 0.0000021993 0.8416666075 0.6187386263 0.1718419872 0.7480830610 0.7351815416
1.0000000000 0.7864458560 3.5000000000 2.0051209921 0.0000021993 0.0454306657 0.0000021993 1.0000000000 0.7864458560 0.3281509707 0.5610652978 0.5781483066
0.9446405948 0.7496677845 3.1124841634 1.7476744918 0.0000021993 0.0454306657 0.0000021993 0.9446405948 0.7496677845 0.1710544882 0.7600590517 0.7702579356
