# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2142616868 0.2487671331 -2.0001681923 -1.7586300684 7.2123081283 7.0262999921 7.0262999921 0.2142616868 0.2487671331 0.2177769730 0.3814592897 0.1712886441
0.1513711500 0.0000000000 -2.4404019502 -3.5000000000 7.2489677243 7.0262999921 7.0262999921 0.1513711500 0.0000000000 0.4228685433 0.8499817476 0.8068783591
0.2142616868 0.2487671331 -2.0001681923 -1.7586300684 7.2123081283 7.0262999921 7.0262999921 0.2142616868 0.2487671331 0.2177769730 0.3814592897 0.1712886441
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.1648520999 0.2586241470 -2.3460353010 -1.6896309707 7.6763565239 7.0262999921 7.0262999921 0.1648520999 0.2586241470 0.4751576717 0.5712793715 0.6321036678
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2142616868 0.2487671331 -2.0001681923 -1.7586300684 7.2123081283 7.0262999921 7.0262999921 0.2142616868 0.2487671331 0.2177769730 0.3814592897 0.1712886441
0.2147169485 0.2920168485 -1.9969813606 -1.4558820602 7.3518619674 7.0262999921 7.0262999921 0.2147169485 0.2920168485 0.1626954651 0.3650199354 0.2027836747
0.2398557180 0.1882224105 -1.8210099741 -2.1824431262 7.0949692368 7.0262999921 7.0262999921 0.2398557180 0.1882224105 0.4746085361 0.3770165162 0.6359030260
0.1857428496 0.2945336047 -2.1998000530 -1.4382647668 7.2196254887 7.0262999921 7.0262999921 0.1857428496 0.2945336047 0.2210088229 0.3960836088 0.1404710783
0.2351118729 0.1820341284 -1.8542168900 -2.2257611012 7.4070332350 7.0262999921 7.0262999921 0.2351118729 0.1820341284 0.2787041922 0.3618722378 0.3103636473
0.1918006131 0.2269021066 -2.1573957086 -1.9116852540 7.1048599233 7.0262999921 7.0262999921 0.1918006131 0.2269021066 0.3167300418 0.7944317175 0.8120303656
0.1990227132 0.1275711706 -2.1068410078 -2.6070018060 7.5757425055 7.0262999921 7.0262999921 0.1990227132 0.1275711706 0.2391910030 0.5840406838 0.2144950510
0.2147169485 0.2920168485 -1.9969813606 -1.4558820602 7.3518619674 7.0262999921 7.0262999921 0.2147169485 0.2920168485 0.1626954651 0.3650199354 0.2027836747
0.2142616868 0.2487671331 -2.0001681923 -1.7586300684 7.2123081283 7.0262999921 7.0262999921 0.2142616868 0.2487671331 0.2177769730 0.3814592897 0.1712886441
0.1990227132 0.1275711706 -2.1068410078 -2.6070018060 7.5757425055 7.0262999921 7.0262999921 0.1990227132 0.1275711706 0.2391910030 0.5840406838 0.2144950510
0.1918006131 0.2269021066 -2.1573957086 -1.9116852540 7.1048599233 7.0262999921 7.0262999921 0.1918006131 0.2269021066 0.3167300418 0.7944317175 0.8120303656
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.1857428496 0.2945336047 -2.1998000530 -1.4382647668 7.2196254887 7.0262999921 7.0262999921 0.1857428496 0.2945336047 0.2210088229 0.3960836088 0.1404710783
0.1363082162 0.2097101399 -2.5458424865 -2.0320290205 7.4746786025 7.0262999921 7.0262999921 0.1363082162 0.2097101399 0.4605527582 0.2637396804 0.4668471675
0.2356047611 0.2707213264 -1.8507666720 -1.6049507151 7.4891932168 7.0262999921 7.0262999921 0.2356047611 0.2707213264 0.1202156288 0.3846306964 0.2448667798
0.2351118729 0.1234370246 -1.8542168900 -2.6359408279 7.0828796675 7.0262999921 7.0262999921 0.2351118729 0.1234370246 0.6167729200 0.6619013247 0.5317674405
0.2356047611 0.2707213264 -1.8507666720 -1.6049507151 7.4891932168 7.0262999921 7.0262999921 0.2356047611 0.2707213264 0.1202156288 0.3846306964 0.2448667798
0.1990227132 0.1275711706 -2.1068410078 -2.6070018060 7.5757425055 7.0262999921 7.0262999921 0.1990227132 0.1275711706 0.2391910030 0.5840406838 0.2144950510
0.1918006131 0.2269021066 -2.1573957086 -1.9116852540 7.1048599233 7.0262999921 7.0262999921 0.1918006131 0.2269021066 0.3167300418 0.7944317175 0.8120303656
0.1857428496 0.2945336047 -2.1998000530 -1.4382647668 7.2196254887 7.0262999921 7.0262999921 0.1857428496 0.2945336047 0.2210088229 0.3960836088 0.1404710783
0.2147169485 0.2920168485 -1.9969813606 -1.4558820602 7.3518619674 7.0262999921 7.0262999921 0.2147169485 0.2920168485 0.1626954651 0.3650199354 0.2027836747
0.2142616868 0.2487671331 -2.0001681923 -1.7586300684 7.2123081283 7.0262999921 7.0262999921 0.2142616868 0.2487671331 0.2177769730 0.3814592897 0.1712886441
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.1708811790 0.2075332089 -2.3038317473 -2.0472675377 7.9426627291 7.0262999921 7.0262999921 0.1708811790 0.2075332089 0.2029679979 0.3800147076 0.1798864115
0.1746955794 0.0325294686 -2.2771309439 -3.2722937195 7.4544357498 7.0262999921 7.0262999921 0.1746955794 0.0325294686 0.2391910030 0.5769517140 0.7838926196
0.2377173507 0.2283438045 -1.8359785453 -1.9015933686 7.1021884309 7.0262999921 7.0262999921 0.2377173507 0.2283438045 0.1981273408 0.3090425020 0.2194323745
0.2086484061 0.2738460141 -2.0394611574 -1.5830779016 7.8492048860 7.0262999921 7.0262999921 0.2086484061 0.2738460141 0.1514260356 0.4462563419 0.2166028911
0.1901950185 0.2142467707 -2.1686348707 -2.0002726052 7.0913683629 7.0262999921 7.0262999921 0.1901950185 0.2142467707 0.2368531746 0.3198060608 0.1245336992
0.1709651380 0.3015666133 -2.3032440338 -1.3890337068 7.2955042724 7.0262999921 7.0262999921 0.1709651380 0.3015666133 0.2022040924 0.3553786671 0.1322298926
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2377173507 0.2283438045 -1.8359785453 -1.9015933686 7.1021884309 7.0262999921 7.0262999921 0.2377173507 0.2283438045 0.1981273408 0.3090425020 0.2194323745
0.2086484061 0.2738460141 -2.0394611574 -1.5830779016 7.8492048860 7.0262999921 7.0262999921 0.2086484061 0.2738460141 0.1514260356 0.4462563419 0.2166028911
0.1857428496 0.2945336047 -2.1998000530 -1.4382647668 7.2196254887 7.0262999921 7.0262999921 0.1857428496 0.2945336047 0.2210088229 0.3960836088 0.1404710783
0.2356047611 0.2707213264 -1.8507666720 -1.6049507151 7.4891932168 7.0262999921 7.0262999921 0.2356047611 0.2707213264 0.1202156288 0.3846306964 0.2448667798
0.1918006131 0.2269021066 -2.1573957086 -1.9116852540 7.1048599233 7.0262999921 7.0262999921 0.1918006131 0.2269021066 0.3167300418 0.7944317175 0.8120303656
