# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1195308541 0.1238940865 -2.6632840215 -2.6327413948 32.8573631420 0.6137205523 0.6137205523 0.1195308541 0.1238940865 0.3177505136 0.5315631683 0.4339627153
0.1195308541 0.1238940865 -2.6632840215 -2.6327413948 32.8573631420 0.6137205523 0.6137205523 0.1195308541 0.1238940865 0.3177505136 0.5315631683 0.4339627153
0.1634715065 0.0860379252 -2.3556994546 -2.8977345235 20.7515095586 7.0262999921 7.0262999921 0.1634715065 0.0860379252 0.2004373285 0.4592225888 0.3900808836
0.0847173048 0.1438130621 -2.9069788666 -2.4933085650 19.9182396548 0.6137205523 0.6137205523 0.0847173048 0.1438130621 0.3123792624 0.5887348981 0.4521807878
0.0755420389 0.0000000000 -2.9712057275 -3.5000000000 19.8961233160 0.6137205523 0.6137205523 0.0755420389 0.0000000000 0.1348317109 0.5046710200 0.4449030401
0.1044677878 0.0479583271 -2.7687254856 -3.1642917101 17.6359482626 0.6137205523 0.6137205523 0.1044677878 0.0479583271 0.0569489548 0.5032229922 0.4023280790
0.1369330254 0.1823497897 -2.5414688219 -2.2235514718 14.7617731291 7.0262999921 7.0262999921 0.1369330254 0.1823497897 0.3152567292 0.3752572317 0.3720386308
0.0895148829 0.0000000000 -2.8733958200 -3.5000000000 14.6815059095 0.6137205523 0.6137205523 0.0895148829 0.0000000000 0.4002780135 0.3996788386 0.5714150438
0.0970603181 0.1425664337 -2.8205777733 -2.5020349644 14.3434288635 0.6137205523 0.6137205523 0.0970603181 0.1425664337 0.3066749459 0.5554905235 0.3006045087
0.1831420379 0.1972092523 -2.2180057344 -2.1195352337 13.9251745476 7.0262999921 7.0262999921 0.1831420379 0.1972092523 0.1824479369 0.6578713024 0.3835640385
0.0323417060 0.0000000000 -3.2736080582 -3.5000000000 13.8988584952 0.6137205523 0.6137205523 0.0323417060 0.0000000000 0.2046938175 0.5186470956 0.4878696810
0.1012145782 0.0000000000 -2.7914979528 -3.5000000000 13.8710415476 0.6137205523 0.6137205523 0.1012145782 0.0000000000 0.3738331422 0.4088022890 0.4629658413
0.1676394321 0.0206713459 -2.3265239753 -3.3553005785 13.4820539818 7.0262999921 7.0262999921 0.1676394321 0.0206713459 0.2492451205 0.4360746400 0.4086645635
0.0397039988 0.0000000000 -3.2220720084 -3.5000000000 12.9759047708 0.6137205523 0.6137205523 0.0397039988 0.0000000000 0.1784945370 0.3306268461 0.3905811664
