# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7518276232 0.3147596822 1.7627933624 -1.2966822245 89.9398837447 89.9292960528 89.9292960528 0.7518276232 0.3147596822 0.3347511384 0.5100653400 0.6443476703
0.7518276232 0.3147596822 1.7627933624 -1.2966822245 89.9398837447 89.9292960528 89.9292960528 0.7518276232 0.3147596822 0.3347511384 0.5100653400 0.6443476703
0.7518276232 0.3141201030 1.7627933624 -1.3011592788 89.9184766259 89.8901214620 89.8901214620 0.7518276232 0.3141201030 0.3347511384 0.5100653400 0.6443476703
0.7514426248 0.3144418558 1.7600983735 -1.2989070095 89.8585256805 89.8421183080 89.8421183080 0.7514426248 0.3144418558 0.3351332596 0.5100653400 0.6448299163
0.7525276203 0.3135350980 1.7676933423 -1.3052543139 89.7892069504 89.6840066625 89.6840066625 0.7525276203 0.3135350980 0.3340563726 0.5069518679 0.6434708594
0.7518276232 0.3144718716 1.7627933624 -1.2986968989 89.7754928031 89.7437027485 89.7437027485 0.7518276232 0.3144718716 0.3347511384 0.5059396879 0.6443476703
0.7518276232 0.3147596822 1.7627933624 -1.2966822245 89.7548684458 89.7341274335 89.7341274335 0.7518276232 0.3147596822 0.3347511384 0.5050228763 0.6443476703
0.7518276232 0.3141201030 1.7627933624 -1.3011592788 89.7367319590 89.8034617378 89.7367319590 0.7518276232 0.3141201030 0.3361836141 0.5098214747 0.6443476703
0.7514426248 0.3147596822 1.7600983735 -1.2966822245 89.7190839107 89.7105112410 89.7105112410 0.7514426248 0.3147596822 0.3351332596 0.5067352860 0.6448299163
0.7522126216 0.3137983503 1.7654883514 -1.3034115481 89.6959316098 89.5983347368 89.5983347368 0.7522126216 0.3137983503 0.3343690172 0.5042272782 0.6438654243
0.7518276232 0.3137683345 1.7627933624 -1.3036216586 89.6910417778 89.6237676424 89.6237676424 0.7518276232 0.3137683345 0.3347511384 0.5050228763 0.6443476703
0.7533831724 0.3124683233 1.7736822066 -1.3127217366 89.6630670318 89.4962173760 89.4962173760 0.7533831724 0.3124683233 0.3332072144 0.5093095242 0.6423992017
0.7515787720 0.3162696849 1.7610514043 -1.2861122060 89.5915616932 89.5374242506 89.5374242506 0.7515787720 0.3162696849 0.3341884406 0.4998561426 0.6428878471
0.7518276232 0.3147596822 1.7627933624 -1.2966822245 89.5117131229 89.4828691130 89.4828691130 0.7518276232 0.3147596822 0.3347511384 0.5008972241 0.6443476703
0.7533831724 0.3128200919 1.7736822066 -1.3102593567 89.4681065195 89.2857797114 89.2857797114 0.7533831724 0.3128200919 0.3332072144 0.5143519880 0.6423992017
0.7518276232 0.3141201030 1.7627933624 -1.3011592788 89.4547690084 89.3860997904 89.3860997904 0.7518276232 0.3141201030 0.3347511384 0.5008972241 0.6443476703
0.7519644913 0.3147702239 1.7637514394 -1.2966084326 89.4407493400 89.4358366143 89.4358366143 0.7519644913 0.3147702239 0.3350606222 0.5014698190 0.6451505731
0.7526167324 0.3144718716 1.7683171266 -1.2986968989 89.3595870205 89.3061910583 89.3061910583 0.7526167324 0.3144718716 0.3332072144 0.5029617977 0.6400504205
0.7525276203 0.3144418558 1.7676933423 -1.2989070095 89.3583047873 89.3115224413 89.3115224413 0.7525276203 0.3144418558 0.3351332596 0.5159034018 0.6448299163
0.7532623672 0.3147596822 1.7728365701 -1.2966822245 89.2731213172 89.1343779634 89.1343779634 0.7532623672 0.3147596822 0.3339682889 0.5046509942 0.6365344889
0.7526167324 0.3135398345 1.7683171266 -1.3052211588 89.0968632385 89.2299275170 89.0968632385 0.7526167324 0.3135398345 0.3296274197 0.5074313151 0.6408050001
0.7513751665 0.3180284336 1.7596261658 -1.2738009646 89.0784106012 88.7151676766 88.7151676766 0.7513751665 0.3180284336 0.3337280514 0.4990043485 0.6416934463
0.7518276232 0.3141201030 1.7627933624 -1.3011592788 89.0743713191 88.9864453320 88.9864453320 0.7518276232 0.3141201030 0.3347511384 0.5175665257 0.6443476703
0.7552474229 0.3108456308 1.7867319603 -1.3240805843 89.0433242600 88.3638870471 88.3638870471 0.7552474229 0.3108456308 0.3347511384 0.5084048809 0.6411404606
0.7548624245 0.3111673836 1.7840369714 -1.3218283150 89.0395970691 88.3911573065 88.3911573065 0.7548624245 0.3111673836 0.3341161388 0.5050748269 0.6416227066
0.7524732580 0.3130650692 1.7673128059 -1.3085445153 88.9578574088 88.9863476051 88.9578574088 0.7524732580 0.3130650692 0.3305590049 0.5154114144 0.6414491219
0.7449618356 0.3142791645 1.7147328490 -1.3000458484 88.9270804021 88.4760023272 88.4760023272 0.7449618356 0.3142791645 0.3358979716 0.5122037073 0.6418202927
0.7478653519 0.3181886727 1.7350574631 -1.2726792910 88.8660971854 88.2212021938 88.2212021938 0.7478653519 0.3181886727 0.3343617591 0.5067563466 0.6473536812
0.7546223108 0.3134093531 1.7823561755 -1.3061345283 88.8477502897 88.7724061851 88.7724061851 0.7546223108 0.3134093531 0.3363006002 0.5097754311 0.6379064517
0.7526167324 0.3135398345 1.7683171266 -1.3052211588 88.8329385097 88.9839925399 88.8329385097 0.7526167324 0.3135398345 0.3296274197 0.5149325008 0.6408050001
0.7489807268 0.3149767869 1.7428650878 -1.2951624916 88.7410450750 88.8588465541 88.7410450750 0.7489807268 0.3149767869 0.3304351625 0.5108643481 0.6335771285
0.7540068724 0.3118823897 1.7780481071 -1.3168232721 88.3441673073 87.8490281983 87.8490281983 0.7540068724 0.3118823897 0.3349652970 0.4976747068 0.6426943643
0.7478623299 0.3141201030 1.7350363095 -1.3011592788 88.3046374428 88.1469800132 88.1469800132 0.7478623299 0.3141201030 0.3356468998 0.5149583524 0.6346108246
0.7526915327 0.3138351298 1.7688407289 -1.3031540915 88.2847885453 88.0824469131 88.0824469131 0.7526915327 0.3138351298 0.3347511384 0.5141870435 0.6288924923
0.7474777183 0.3152647336 1.7323440278 -1.2931468649 88.1862965287 88.5144533616 88.1862965287 0.7474777183 0.3152647336 0.3288491830 0.5144271330 0.6393487990
0.7490132335 0.3143966095 1.7430926347 -1.2992237336 88.1252079727 88.1038487995 88.1038487995 0.7490132335 0.3143966095 0.3315007374 0.4992933469 0.6392033999
0.7502551402 0.3051437837 1.7517859812 -1.3639935142 88.1200236931 84.5413238497 84.5413238497 0.7502551402 0.3051437837 0.3325400555 0.5069561576 0.6383683275
0.7441674542 0.3177577817 1.7091721797 -1.2756955282 88.0261196276 86.6393310184 86.6393310184 0.7441674542 0.3177577817 0.3347567991 0.5134311048 0.6354843027
0.7502006038 0.3187976722 1.7514042265 -1.2684162949 87.9266023712 87.3809369560 87.3809369560 0.7502006038 0.3187976722 0.3307013289 0.5009813756 0.6381518062
0.7506592752 0.3140549182 1.7546149261 -1.3016155726 87.8457056952 88.7760549387 87.8457056952 0.7506592752 0.3140549182 0.3269715397 0.5135197740 0.6385555080
0.7489993520 0.3164837596 1.7429954639 -1.2846136825 87.7103380031 88.4051670832 87.7103380031 0.7489993520 0.3164837596 0.3375582730 0.5067418383 0.6478903405
0.7437842726 0.3220275804 1.7064899083 -1.2458069370 87.6016284213 85.1138739994 85.1138739994 0.7437842726 0.3220275804 0.3354716178 0.5108898039 0.6435193997
0.7494800812 0.3157630640 1.7463605687 -1.2896585520 87.2583997986 87.1849133714 87.1849133714 0.7494800812 0.3157630640 0.3336996769 0.5088890775 0.6246454007
0.7491522537 0.3109803688 1.7440657756 -1.3231374183 87.2092450776 86.4846680392 86.4846680392 0.7491522537 0.3109803688 0.3349467999 0.5181330884 0.6366850453
0.7535361400 0.3135459714 1.7747529797 -1.3051782004 87.0228341518 88.1561902117 87.0228341518 0.7535361400 0.3135459714 0.3386833461 0.5033097131 0.6401147181
0.7563929156 0.3134523506 1.7947504090 -1.3058335456 86.9195017905 86.8940959688 86.8940959688 0.7563929156 0.3134523506 0.3289966614 0.5012127493 0.6443476703
0.7574043071 0.3151558096 1.8018301495 -1.2939093328 86.7062168493 86.5079007933 86.5079007933 0.7574043071 0.3151558096 0.3309747235 0.5006948876 0.6368527784
0.7497473660 0.3156040001 1.7482315617 -1.2907719990 86.6547988981 88.1562744074 86.6547988981 0.7497473660 0.3156040001 0.3392965534 0.5154279542 0.6370540922
0.7569699345 0.3098225456 1.7987895416 -1.3312421811 86.6482981930 85.6227178962 85.6227178962 0.7569699345 0.3098225456 0.3296472574 0.5069399546 0.6379064517
0.7541217594 0.3153513103 1.7788523157 -1.2925408280 86.6418214708 86.4044466394 86.4044466394 0.7541217594 0.3153513103 0.3347511384 0.5105353046 0.6230137308
0.7509841353 0.3141201030 1.7568889468 -1.3011592788 85.1907617558 84.9316176837 84.9316176837 0.7509841353 0.3141201030 0.3347511384 0.4715518116 0.6436627870
0.7534228951 0.2811360537 1.7739602657 -1.5320476238 81.5906726238 71.7399463542 71.7399463542 0.7534228951 0.2811360537 0.3346130489 0.4974187674 0.6403824628
0.7514682287 0.3190655700 1.7602776007 -1.2665410098 79.7926998060 78.9757498192 78.9757498192 0.7514682287 0.3190655700 0.3141278715 0.5097673637 0.6514652487
