# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1063277250 0.6459807812 -2.7557059247 1.0218654684 89.3641268504 89.5099673718 89.3641268504 0.1063277250 0.6459807812 0.6893172194 0.7273774633 0.4402928670
0.1063277250 0.6459807812 -2.7557059247 1.0218654684 89.3641268504 89.5099673718 89.3641268504 0.1063277250 0.6459807812 0.6893172194 0.7273774633 0.4402928670
0.1057160711 0.6458771522 -2.7599875021 1.0211400654 88.3265896070 89.4029405719 88.3265896070 0.1057160711 0.6458771522 0.6897755674 0.7255130471 0.4402928670
0.1066839680 0.6474782888 -2.7532122242 1.0323480215 89.5731326257 89.3302154425 89.3302154425 0.1066839680 0.6474782888 0.6891090966 0.7281169740 0.4401704354
0.1066854236 0.6454421043 -2.7532020345 1.0180947299 89.0025319765 89.3199216761 89.0025319765 0.1066854236 0.6454421043 0.6886537019 0.7272595377 0.4402143140
0.1068616696 0.6457291287 -2.7519683131 1.0201039011 89.0091528030 89.2953071294 89.0091528030 0.1068616696 0.6457291287 0.6884497263 0.7274341867 0.4402000316
0.1073954685 0.6470207388 -2.7482317205 1.0291451719 89.2566200448 89.1445360671 89.1445360671 0.1073954685 0.6470207388 0.6882447987 0.7280089102 0.4401765728
0.1056176802 0.6468493161 -2.7606762386 1.0279452129 89.1414426957 89.1213120084 89.1213120084 0.1056176802 0.6468493161 0.6903431486 0.7266280908 0.4401765728
0.1058923170 0.6441809373 -2.7587537807 1.0092665612 88.6313624827 88.9425193898 88.6313624827 0.1058923170 0.6441809373 0.6895715918 0.7264736169 0.4402785847
0.1066854236 0.6441504942 -2.7532020345 1.0090534591 88.3292927496 88.9331753915 88.3292927496 0.1066854236 0.6441504942 0.6886537019 0.7264736169 0.4402143140
0.1058923170 0.6441504942 -2.7587537807 1.0090534591 88.6231452446 88.9254307824 88.6231452446 0.1058923170 0.6441504942 0.6895715918 0.7264736169 0.4402785847
0.1053583725 0.6443717035 -2.7624913923 1.0106019244 88.6237580530 88.9222454337 88.6237580530 0.1053583725 0.6443717035 0.6904390849 0.7264168935 0.4402976556
0.1085931878 0.6467718369 -2.7398476854 1.0274028586 89.5906811288 88.7690046748 88.7690046748 0.1085931878 0.6467718369 0.6879326134 0.7296058573 0.4417338481
0.1058923170 0.6441504942 -2.7587537807 1.0090534591 89.3721404614 88.6990938414 88.6990938414 0.1058923170 0.6441504942 0.6895715918 0.7306183708 0.4402785847
0.1073962691 0.6445779370 -2.7482261161 1.0120455588 88.5145052465 88.6939537528 88.5145052465 0.1073962691 0.6445779370 0.6879943317 0.7271050638 0.4402007060
0.1073962691 0.6445611932 -2.7482261161 1.0119283526 88.5086558585 88.6912747647 88.5086558585 0.1073962691 0.6445611932 0.6879943317 0.7271050638 0.4402007060
0.1076547762 0.6470760900 -2.7464165668 1.0295326301 89.0170351442 88.5327120275 88.5327120275 0.1076547762 0.6470760900 0.6875318364 0.7282201075 0.4401357609
