# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1562027922 0.6983701831 -2.4065804543 1.3885912820 0.0000017118 3.4086322195 0.0000017118 0.1562027922 0.6983701831 0.9840554934 0.5876074877 0.5293190934
0.7221084989 0.3291087624 1.5547594925 -1.1962386632 1.8212405395 0.0000014521 0.0000014521 0.7221084989 0.3291087624 0.7105907397 0.6530545071 0.9031695630
0.9816693800 0.0972874110 3.3716856597 -2.8189881231 0.0000011855 0.0000014521 0.0000011855 0.9816693800 0.0972874110 0.3504556159 0.3283168534 0.0653926661
0.9644212347 0.6152681978 3.2509486428 0.8068773848 1.8212405395 0.0000017118 0.0000017118 0.9644212347 0.6152681978 0.6389103931 0.6317647031 0.8160474156
0.7104256754 0.5438447414 1.4729797277 0.3069131901 1.8212405395 0.0000017118 0.0000017118 0.7104256754 0.5438447414 0.2998578734 0.1288824630 0.2629802015
0.9102933977 0.5791243719 2.8720537839 0.5538706030 1.8212405395 0.0000012507 0.0000012507 0.9102933977 0.5791243719 0.0170363081 0.7145805881 0.5877766278
0.8182351033 0.0254770493 2.2276457228 -3.3216606548 0.0000011855 0.0000014521 0.0000011855 0.8182351033 0.0254770493 0.4263776818 0.9064686568 0.6192161931
0.4556064483 0.7285966814 -0.3107548616 1.6001767695 0.0000017118 0.0000017118 0.0000017118 0.4556064483 0.7285966814 0.9007950743 0.8969547179 0.5197740537
0.3198605232 0.9350446058 -1.2609763375 3.0453122406 0.0000017118 3.4086322195 0.0000017118 0.3198605232 0.9350446058 0.2891150548 0.8313489320 0.8676393006
0.8960583737 0.8148735802 2.7724086160 2.2041150615 1.8212405395 0.0000017118 0.0000017118 0.8960583737 0.8148735802 0.6677798000 0.6009257198 0.9753414482
0.2421510213 0.0547785893 -1.8049428511 -3.1165498746 3.6880567144 0.0000013923 0.0000013923 0.2421510213 0.0547785893 0.5222254608 0.8374929842 0.2422547756
0.8457729543 0.2562184824 2.4204106803 -1.7064706233 1.8212405395 0.0000014521 0.0000014521 0.8457729543 0.2562184824 0.4444068155 0.3940885823 0.1843929050
0.5308009100 0.8049672930 0.2156063697 2.1347710511 0.0000017118 0.0000017118 0.0000017118 0.5308009100 0.8049672930 0.9485952009 0.5321567109 0.6222039035
0.7099630888 0.8041373314 1.4697416217 2.1289613198 1.8212405395 0.0000017118 0.0000017118 0.7099630888 0.8041373314 0.2949333336 0.8588439943 0.0715636798
0.1919823117 0.6389531673 -2.1561238182 0.9726721714 0.0000017118 3.4086322195 0.0000017118 0.1919823117 0.6389531673 0.5134753943 0.3321275075 0.1129587367
0.1431896206 0.3127979450 -2.4976726558 -1.3104143847 0.0000017118 3.4086322195 0.0000017118 0.1431896206 0.3127979450 0.2280925798 0.9262813380 0.9316191665
0.7583269325 0.8611313689 1.8082885273 2.5279195822 1.8212405395 0.0000012507 0.0000012507 0.7583269325 0.8611313689 0.1130332632 0.1540582609 0.0421519053
0.6393152156 0.7777612124 0.9752065095 1.9443284871 1.8212405395 0.0000010289 0.0000010289 0.6393152156 0.7777612124 0.5167214900 0.0479424098 0.7134127140
0.9273510135 0.6176518948 2.9914570944 0.8235632635 1.8212405395 0.0000017118 0.0000017118 0.9273510135 0.6176518948 0.8316838412 0.4916708424 0.7189698033
0.7917242659 0.1778003506 2.0420698614 -2.2553975457 0.0000013834 0.0000014521 0.0000013834 0.7917242659 0.1778003506 0.8224593196 0.2476820184 0.7825905638
0.6038307354 0.2670038979 0.7268151479 -1.6309727146 1.8212405395 0.0000014521 0.0000014521 0.6038307354 0.2670038979 0.3207940897 0.7996686846 0.1235498601
0.2218613406 0.7861565452 -1.9469706159 2.0030958161 0.0000017118 3.4086322195 0.0000017118 0.2218613406 0.7861565452 0.2568430599 0.1819611508 0.6907922028
0.5514010623 0.8915714520 0.3598074361 2.7410001638 1.8212405395 0.0000017118 0.0000017118 0.5514010623 0.8915714520 0.8044398806 0.1332506433 0.3350498476
0.6065871809 0.9389161588 0.7461102662 3.0724131115 1.8212405395 0.0000017118 0.0000017118 0.6065871809 0.9389161588 0.4024676480 0.1645572549 0.2681394307
0.9057151892 0.6392615619 2.8400063242 0.9748309331 1.8212405395 0.0000017118 0.0000017118 0.9057151892 0.6392615619 0.4300202083 0.6405407320 0.8263053347
0.9342383822 0.9712131420 3.0396686751 3.2984919937 1.8212405395 0.0000017118 0.0000017118 0.9342383822 0.9712131420 0.4698104993 0.8350201658 0.8785814719
0.3706093508 0.4944464170 -0.9057345444 -0.0388750808 0.0000015416 0.0000013661 0.0000013661 0.3706093508 0.4944464170 0.1151470102 0.2176111621 0.3361459216
0.5296192098 0.9275190982 0.2073344688 2.9926336871 0.0000017118 0.0000017118 0.0000017118 0.5296192098 0.9275190982 0.7610738406 0.9728902301 0.3692554156
0.1899975601 0.7754378168 -2.1700170792 1.9280647173 0.0000017118 3.4086322195 0.0000017118 0.1899975601 0.7754378168 0.1369183453 0.8266406243 0.4822593200
0.4883392939 0.3377544326 -0.0816249424 -1.1357189721 0.0000017118 0.0000014521 0.0000014521 0.4883392939 0.3377544326 0.7836660693 0.8634465259 0.9663813458
0.8113358424 0.4345806098 2.1793508965 -0.4579357312 1.8212405395 0.0000014521 0.0000014521 0.8113358424 0.4345806098 0.0294688192 0.8102376377 0.1104956758
0.5475713460 0.6952728811 0.3329994217 1.3669101674 1.8212405395 0.0000012507 0.0000012507 0.5475713460 0.6952728811 0.0995724378 0.6308509284 0.8021651840
0.0823158852 0.1329148603 -2.9237888038 -2.5695959781 0.0000017118 0.0000013923 0.0000013923 0.0823158852 0.1329148603 0.7463372235 0.4628818767 0.6861249605
0.4634861102 0.0665591070 -0.2555972285 -3.0340862512 3.6880567144 0.0000014521 0.0000014521 0.4634861102 0.0665591070 0.8976759994 0.6156726103 0.9364088617
0.8979147603 0.9881751754 2.7854033223 3.4172262277 1.8212405395 0.0000017118 0.0000017118 0.8979147603 0.9881751754 0.4205265079 0.7614727059 0.6323103674
0.0941951346 0.3001948694 -2.8406340578 -1.3986359143 0.0000017118 3.4086322195 0.0000017118 0.0941951346 0.3001948694 0.8273118818 0.6502100594 0.0707327740
0.3102963737 0.5778875046 -1.3279253838 0.5452125325 0.0000017118 3.4086322195 0.0000017118 0.3102963737 0.5778875046 0.4608706910 0.7984286934 0.2735988470
0.9205028859 0.0624852181 2.9435202010 -3.0626034736 0.0000011855 0.0000014521 0.0000011855 0.9205028859 0.0624852181 0.3564024034 0.7973027670 0.3657787067
0.2770132663 0.0952522931 -1.5609071357 -2.8332339483 0.0000017118 0.0000015717 0.0000015717 0.2770132663 0.0952522931 0.1474766892 0.7599436692 0.7925234289
0.3765797468 0.0709681991 -0.8639417727 -3.0032226061 3.6880567144 0.0000013923 0.0000013923 0.3765797468 0.0709681991 0.7409148511 0.7497460993 0.8915911391
0.2474977927 0.0941582284 -1.7675154514 -2.8408924013 0.0000015416 0.0000015717 0.0000015416 0.2474977927 0.0941582284 0.0460897308 0.4920206368 0.6126956432
0.1534901394 0.6038071761 -2.4255690244 0.7266502327 0.0000056613 3.4086322195 0.0000056613 0.1534901394 0.6038071761 0.2700728358 0.7906701221 0.6410731808
0.0254573158 0.0770397148 -3.3217987896 -2.9607219966 3.6880567144 0.0000013923 0.0000013923 0.0254573158 0.0770397148 0.5145480301 0.6300127872 0.5741107002
