# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.9640308014 0.0523205892 3.2482156096 -3.1337558759 29.8749608443 7.6232743431 7.6232743431 0.9640308014 0.0523205892 0.8081004119 0.3656397087 0.3482396591
0.9640308014 0.0523205892 3.2482156096 -3.1337558759 29.8749608443 7.6232743431 7.6232743431 0.9640308014 0.0523205892 0.8081004119 0.3656397087 0.3482396591
0.0273601333 0.0000000000 -3.3084790670 -3.5000000000 20.9983122383 10.0894650458 10.0894650458 0.0273601333 0.0000000000 0.3376652139 0.4292868036 0.5295671489
0.0273601333 0.0000000000 -3.3084790670 -3.5000000000 20.9983122383 10.0894650458 10.0894650458 0.0273601333 0.0000000000 0.3376652139 0.4292868036 0.5295671489
1.0000000000 0.0670501291 3.5000000000 -3.0306490963 19.8367626015 7.6232743431 7.6232743431 1.0000000000 0.0670501291 0.8538575138 0.3896913094 0.2993539625
1.0000000000 0.0741967233 3.5000000000 -2.9806229372 17.5879822457 7.6232743431 7.6232743431 1.0000000000 0.0741967233 0.8463580585 0.3941206542 0.4063297164
0.7838909606 0.0218918615 1.9872367242 -3.3467569692 14.1693977894 7.6232743431 7.6232743431 0.7838909606 0.0218918615 0.7985682433 0.2607358733 0.0935819401
0.9665637878 0.0478495137 3.2659465146 -3.1650534043 12.0641452057 7.6232743431 7.6232743431 0.9665637878 0.0478495137 0.8648726390 0.4960522631 0.3667270148
0.9249004735 0.0566080568 2.9743033143 -3.1037436021 11.1302958870 7.6232743431 7.6232743431 0.9249004735 0.0566080568 0.7498743659 0.2766132231 0.3757013165
0.0527271138 0.0000000000 -3.1309102033 -3.5000000000 10.7945025055 10.0894650458 10.0894650458 0.0527271138 0.0000000000 0.3701265580 0.7293320759 0.8124606555
0.8613315528 0.0242003915 2.5293208699 -3.3305972593 10.7592444502 7.6232743431 7.6232743431 0.8613315528 0.0242003915 0.8455588393 0.4912862892 0.2336036340
1.0000000000 0.0000000000 3.5000000000 -3.5000000000 10.6481104654 7.6232743431 7.6232743431 1.0000000000 0.0000000000 0.8299275985 0.5030666692 0.1486583799
0.0000000000 0.0000000000 -3.5000000000 -3.5000000000 10.5908343490 3.9112210578 3.9112210578 0.0000000000 0.0000000000 0.5288414791 0.4323484168 0.4723033179
1.0000000000 0.0826930840 3.5000000000 -2.9211484118 10.5842127375 7.6232743431 7.6232743431 1.0000000000 0.0826930840 0.8400535234 0.3843224066 0.3166401548
0.8766744950 0.0987712960 2.6367214653 -2.8086009283 10.5707375109 7.6232743431 7.6232743431 0.8766744950 0.0987712960 0.9756038397 0.1914905402 0.5550083702
0.7310989665 0.0000000000 1.6176927657 -3.5000000000 10.5638704969 7.6232743431 7.6232743431 0.7310989665 0.0000000000 0.8438598909 0.2486973725 0.3970300120
0.7521656511 0.0829038067 1.7651595577 -2.9196733530 10.5638704969 7.6232743431 7.6232743431 0.7521656511 0.0829038067 0.7306331685 0.3693310124 0.5300738746
0.5876759840 0.0000000000 0.6137318881 -3.5000000000 10.5638704969 7.6232743431 7.6232743431 0.5876759840 0.0000000000 0.5441929022 0.3315547735 0.4601217176
0.8046354564 0.0917826401 2.1324481947 -2.8575215194 10.5638704969 7.6232743431 7.6232743431 0.8046354564 0.0917826401 0.7142212592 0.2043342192 0.3238640130
0.9182233147 0.0000000000 2.9275632031 -3.5000000000 10.5638704969 7.6232743431 7.6232743431 0.9182233147 0.0000000000 0.6646975203 0.3248474684 0.4986339705
0.7105995188 0.0414383517 1.4741966318 -3.2099315384 10.5638704969 7.6232743431 7.6232743431 0.7105995188 0.0414383517 0.5318069599 0.2676990332 0.4045071852
