# from_x0 from_x1 to_x0 to_x1 length
0.7075454823 2.3769577559 0.7107147867 2.3774673215 0.0018537201
0.7017405135 2.3834229894 0.7075454823 2.3769577559 0.0022927583
0.7198762173 2.3787732917 0.7107147867 2.3774673215 0.0059119110
0.6802166390 2.3861251208 0.7017405135 2.3834229894 0.0054150842
0.7187582567 2.3790313303 0.7198762173 2.3787732917 0.0043436484
0.7187582567 2.3790313303 0.7017405135 2.3834229894 0.0078850346
0.7249766564 2.3797603666 0.7198762173 2.3787732917 0.0030682025
0.7227284101 2.4199842052 0.7075454823 2.3769577559 0.0088960975
0.7305785165 2.4190432220 0.7227284101 2.4199842052 0.0102502166
0.7177898209 2.3860635921 0.7249766564 2.3797603666 0.0023867608
0.6749438692 2.4106941069 0.6802166390 2.3861251208 0.0037745332
0.6851565863 2.3842201271 0.7177898209 2.3860635921 0.0118455823
0.7547421225 2.4050284832 0.7187582567 2.3790313303 0.0066981848
0.7457694529 2.3590369093 0.7187582567 2.3790313303 0.0064643507
0.6705304858 2.3796291368 0.7305785165 2.4190432220 0.0113891480
0.7291806886 2.4096639935 0.7547421225 2.4050284832 0.0055410535
0.6932836126 2.3746647108 0.6802166390 2.3861251208 0.0043395651
0.7050221377 2.3701322340 0.7198762173 2.3787732917 0.0122389132
0.7233315393 2.3664220252 0.7457694529 2.3590369093 0.0042413125
0.7111579902 2.3781402859 0.7187582567 2.3790313303 0.0057756341
-1.4791095615 -2.5067905385 0.7233315393 2.3664220252 0.8656544922
0.6936933025 2.4053185456 0.7227284101 2.4199842052 0.0063702739
0.7246922201 2.3373300329 0.7457694529 2.3590369093 0.0143821101
0.6932836126 2.3734948777 0.7187582567 2.3790313303 0.0046249924
0.7204315160 2.3799349675 0.7233315393 2.3664220252 0.0020759933
0.7002557987 2.3449100711 0.7187582567 2.3790313303 0.0144473240
0.7242501756 2.3790313303 0.6851565863 2.3842201271 0.0105810725
0.6618397755 2.4275131075 0.6851565863 2.3842201271 0.0123653619
0.7186123896 2.4190432220 0.6749438692 2.4106941069 0.0078665921
0.7014301858 2.3561804678 0.6705304858 2.3796291368 0.0098941078
0.6492215635 2.3913911095 0.6802166390 2.3861251208 0.0084655676
0.6550261027 2.4285987084 0.6749438692 2.4106941069 0.0075305938
0.6512521710 2.4360934533 0.6550261027 2.4285987084 0.0088152156
0.6925001636 2.4320394299 0.7198762173 2.3787732917 0.0086185129
0.6880502589 2.4457110949 0.6925001636 2.4320394299 0.0117036748
0.6573656841 2.3644505102 0.6932836126 2.3734948777 0.0064936501
0.7048709810 2.4302590203 0.7227284101 2.4199842052 0.0153214774
-1.5244935993 -2.4982760005 -1.4791095615 -2.5067905385 0.0120102596
0.6680924795 2.4461805301 0.6550261027 2.4285987084 0.0070499622
0.6468387876 2.4050284832 0.6550261027 2.4285987084 0.0102257027
-1.4670972113 -2.5188609359 -1.5244935993 -2.4982760005 0.0202776729
0.7476686342 2.3247998086 0.7187582567 2.3790313303 0.0164039628
-1.4912189880 -2.5334744728 -1.4670972113 -2.5188609359 0.0058218662
-1.5218718558 -2.4864778992 -1.4912189880 -2.5334744728 0.0127374839
0.7470139570 2.4552376270 0.7291806886 2.4096639935 0.0070257879
-1.4793969465 -2.5448113024 -1.4912189880 -2.5334744728 0.0065965477
