# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1621646026 0.8116094010 -2.3648477819 2.1812658069 46.9660527911 0.0804509261 0.0804509261 0.1621646026 0.8116094010
0.9527261216 0.9353960043 3.1690828511 3.0477720298 3.5259946113 0.0827281064 0.0827281064 0.9527261216 0.9353960043
0.3744839090 0.6226843686 -0.8786126372 0.8587905805 0.0694028538 11.4779803939 0.0694028538 0.3744839090 0.6226843686
0.1278343344 0.9650611105 -2.6051596595 3.2554277738 19.3374628826 5.9306158783 5.9306158783 0.1278343344 0.9650611105
0.0323827381 0.9660832691 -3.2733208332 3.2625828835 0.3808574001 0.0804509261 0.0804509261 0.0323827381 0.9660832691
0.8406334123 0.0464217950 2.3844338862 -3.1750474349 0.0887690381 0.6960409702 0.0887690381 0.8406334123 0.0464217950
0.5446504322 0.1505547082 0.3125530253 -2.4461170427 0.0887690381 0.0872340966 0.0872340966 0.5446504322 0.1505547082
0.7741061637 0.9800608138 1.9187431462 3.3604256964 3.5259946113 0.0827281064 0.0827281064 0.7741061637 0.9800608138
0.2256961593 0.5069601343 -1.9201268852 0.0487209398 0.0694028538 65.9856909274 0.0694028538 0.2256961593 0.5069601343
0.4492240700 0.1913863822 -0.3554315097 -2.1602953244 0.1020729468 0.0872340966 0.0872340966 0.4492240700 0.1913863822
0.1781305831 0.0780458964 -2.2530859185 -2.9536787255 20.3806717144 66.2580608933 20.3806717144 0.1781305831 0.0780458964
0.0892580369 0.6687787359 -2.8751937414 1.1814511513 0.0694028538 0.0804509261 0.0694028538 0.0892580369 0.6687787359
0.2575471833 0.6026432558 -1.6971697172 0.7185027905 0.0694028538 42.2920206833 0.0694028538 0.2575471833 0.6026432558
0.8745571974 0.5897054869 2.6219003820 0.6279384080 3.5259946113 0.7880262901 0.7880262901 0.8745571974 0.5897054869
0.7352164404 0.3488633616 1.6465150831 -1.0579564691 0.8694334466 1.0938083199 0.8694334466 0.7352164404 0.3488633616
0.7096259892 0.6033897339 1.4673819242 0.7237281376 3.5259946113 0.4883208927 0.4883208927 0.7096259892 0.6033897339
0.8698819287 0.4886973772 2.5891735008 -0.0791183593 0.0887690381 0.0827281064 0.0827281064 0.8698819287 0.4886973772
0.5993788728 0.0391477569 0.6956521096 -3.2259657015 0.0887690381 0.6960409702 0.0887690381 0.5993788728 0.0391477569
0.8631390330 0.7969745617 2.5419732308 2.0788219321 3.5259946113 0.0827281064 0.0827281064 0.8631390330 0.7969745617
0.7256545086 0.1683762824 1.5795815605 -2.3213660233 65.5025134692 6.9785223062 6.9785223062 0.7256545086 0.1683762824
0.6505493372 0.3958679597 1.0538453607 -0.7289242819 0.1726311089 0.4883208927 0.1726311089 0.6505493372 0.3958679597
0.1777233697 0.7061689912 -2.2559364123 1.4431829382 2.6184316730 0.0804509261 0.0804509261 0.1777233697 0.7061689912
0.8487663573 0.6378680642 2.4413645010 0.9650764495 3.5259946113 0.0827281064 0.0827281064 0.8487663573 0.6378680642
