# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.1621646026 0.8116094010 -2.3648477819 2.1812658069 46.9660527911 0.0804509261 0.0804509261 0.1621646026 0.8116094010
0.9527261216 0.9353960043 3.1690828511 3.0477720298 3.5259946113 0.0827281064 0.0827281064 0.9527261216 0.9353960043
0.3744839090 0.6226843686 -0.8786126372 0.8587905805 0.0694028538 11.4779803939 0.0694028538 0.3744839090 0.6226843686
0.1278343344 0.9650611105 -2.6051596595 3.2554277738 19.3374628826 5.9306158783 5.9306158783 0.1278343344 0.9650611105
0.0323827381 0.9660832691 -3.2733208332 3.2625828835 0.3808574001 0.0804509261 0.0804509261 0.0323827381 0.9660832691
0.8406334123 0.0464217950 2.3844338862 -3.1750474349 0.0887690381 0.6960409702 0.0887690381 0.8406334123 0.0464217950
0.5446504322 0.1505547082 0.3125530253 -2.4461170427 0.0887690381 0.0872340966 0.0872340966 0.5446504322 0.1505547082
0.7741061637 0.9800608138 1.9187431462 3.3604256964 3.5259946113 0.0827281064 0.0827281064 0.7741061637 0.9800608138
0.2256961593 0.5069601343 -1.9201268852 0.0487209398 0.0694028538 65.9856909274 0.0694028538 0.2256961593 0.5069601343
0.4492240700 0.1913863822 -0.3554315097 -2.1602953244 0.1020729468 0.0872340966 0.0872340966 0.4492240700 0.1913863822
